标题,开发商,房子信息,发布信息,售价/万,单价
中华园大三房 户型方正 采光通风好 满五唯一税费低,中华园教师村 -鹤山市,3室2厅 | 106.59平米 | 南 | 精装 | 高楼层(共8层)  | 板楼,1人关注 / 12天以前发布,19.5,"1,830元/平"
全新精装天汇三房，高楼层不近路，欢迎咨询,碧桂园天汇 -鹤山市,3室2厅 | 115平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,8人关注 / 一年前发布,102,"8,870元/平"
碧桂园天汇  视野开阔  无遮挡  望小区公园  采光充足,碧桂园天汇 -鹤山市,3室2厅 | 119平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 7个月以前发布,115,"9,664元/平"
一字楼 户型正南向，采光好  视野开阔,碧桂园天汇 -鹤山市,3室2厅 | 108平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,1人关注 / 一年前发布,96,"8,889元/平"
汇源新都三房 户型方正 阳台无遮挡,奥园汇源新都 -鹤山市,3室2厅 | 88.24平米 | 南 | 精装 | 中楼层(共20层)  | 板楼,12人关注 / 一年前发布,65,"7,367元/平"
4房置换户型   与佛山一江之隔  采光充足  格局好,奥园汇源新都 -鹤山市,4室2厅 | 128平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 一年前发布,100,"7,813元/平"
碧桂园天汇，单价低，户型靓，有大入户花园,碧桂园天汇 -鹤山市,3室2厅 | 108平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,17人关注 / 一年前发布,95,"8,797元/平"
小区配套完善 光线好 可以提包入住 交通方便 小区管理,御景豪苑 -杜阮,3室2厅 | 80.53平米 | 南 | 精装 | 高楼层(共11层)  | 塔楼,12人关注 / 一年前发布,76.6,"9,512元/平"
枢纽成熟小区，中层东南向，三房带主套，带入户花园,南湖壹号 -枢纽新城,3室1厅 | 86平米 | 西南 | 毛坯 | 中楼层(共27层)  | 板塔结合,1人关注 / 9个月以前发布,92.8,"10,791元/平"
枢纽成熟小区，中层东南向，三房带主套，带入户花园,南湖壹号 -枢纽新城,3室1厅 | 86平米 | 西南 | 毛坯 | 中楼层(共27层)  | 板塔结合,1人关注 / 9个月以前发布,92.8,"10,791元/平"
富力•南湖壹品 3室2厅 东南,富力•南湖壹品 -枢纽新城,3室2厅 | 90.6平米 | 东南 | 毛坯 | 低楼层(共29层)  | 暂无数据,0人关注 / 5个月以前发布,113,"12,473元/平"
越秀星汇名庭，市区地段，高档小区，近大*市生活方便,越秀星汇名庭 -鹤山市,4室2厅 | 111.7平米 | 东南 西北 | 毛坯 | 中楼层(共32层)  | 暂无数据,1人关注 / 一年前发布,95,"8,505元/平"
此房是精装房，户型方正，空间宽敞，环境优美,共和碧桂园翠湖畔 -鹤山市,3室2厅 | 121.54平米 | 南 北 | 精装 | 中楼层(共23层)  | 暂无数据,0人关注 / 一年前发布,87,"7,159元/平"
业主诚意出售，电梯房，配套齐全,爱琴湾 -鹤山市,3室2厅 | 96.38平米 | 南 | 毛坯 | 低楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,88,"9,131元/平"
电梯洋房 视野开豁 户型格局不错，绿化高 中高楼层,南景湾山水城 -鹤山市,3室2厅 | 92.6平米 | 东南 | 毛坯 | 中楼层(共11层)  | 塔楼,3人关注 / 一年前发布,67,"7,236元/平"
中欧产业园区  时代精装3房 南北通 电梯中间楼层,时代春树里 -鹤山市,3室2厅 | 97.2平米 | 南 北 | 精装 | 中楼层(共23层)  | 板塔结合,5人关注 / 一年前发布,76,"7,819元/平"
碧桂园城市一号3房带套间，小区环境好,城市一号 -鹤山市,3室1厅 | 88平米 | 南 | 毛坯 | 低楼层(共23层)  | 板塔结合,0人关注 / 一年前发布,70,"7,955元/平"
中山一巷高层，非顶楼 ，采光好，出行方便。,中山一巷 -鹤山市,2室2厅 | 84平米 | 南 | 简装 | 高楼层(共8层)  | 平房,2人关注 / 一年前发布,23,"2,739元/平"
中高楼层无遮挡，视野宽阔，采光充足，生活配套齐全,文汇华府 -鹤山市,3室2厅 | 113.7平米 | 西南 | 毛坯 | 低楼层(共31层)  | 塔楼,1人关注 / 8个月以前发布,80,"7,037元/平"
方圆高档小区，户型方正，南向采光好,十里方圆―九章 -鹤山市,3室2厅 | 123平米 | 南 | 简装 | 中楼层(共32层)  | 塔楼,0人关注 / 6个月以前发布,96,"7,805元/平"
九章带精装修两房，全新未入住 、高楼层无遮挡,十里方圆―九章 -鹤山市,2室2厅 | 82.77平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,4人关注 / 一年前发布,59.9,"7,237元/平"
九章中高楼层2房，精装修出售 全新未入住,十里方圆―九章 -鹤山市,2室2厅 | 81平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,1人关注 / 一年前发布,63,"7,778元/平"
满二唯一，格局方正，采光好，视野开阔，实用型三房,金碧嘉园 -鹤山市,3室2厅 | 98平米 | 西北 | 毛坯 | 高楼层(共16层)  | 塔楼,7人关注 / 一年前发布,60,"6,123元/平"
松鹤新城 楼.王位置  业主诚心出售,松鹤国际新城 -鹤山市,3室2厅 | 123平米 | 东南 | 精装 | 低楼层(共28层)  | 塔楼,1人关注 / 一年前发布,100,"8,131元/平"
二期中高双阳台户型诚意出售，采光通风好,保利中央花园中嘉 -鹤山市,4室2厅 | 124平米 | 南 北 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 10个月以前发布,128,"10,323元/平"
东部新城区，规划轻轨旁，双阳台望泳池，*阔楼距！,鹤山新华城 -鹤山市,3室2厅 | 128平米 | 东北 | 毛坯 | 低楼层(共30层)  | 塔楼,1人关注 / 一年前发布,100,"7,813元/平"
天汇风景房，户型方正，全新未入住，小区环境好,碧桂园天汇 -鹤山市,3室2厅 | 115.5平米 | 东 | 精装 | 高楼层(共32层)  | 板楼,10人关注 / 一年前发布,95,"8,226元/平"
靓楼层，方位格局好，通风采光充足,鹤山新华城 -鹤山市,3室2厅 | 126平米 | 南 | 毛坯 | 低楼层(共30层)  | 塔楼,1人关注 / 一年前发布,113,"8,969元/平"
小区绿化好，小区设有车位，交通便利近商场,爱琴湾 -鹤山市,3室2厅 | 100平米 | 南 | 其他 | 中楼层(共17层)  | 板楼,0人关注 / 一年前发布,65,"6,500元/平"
毛坯3房，中楼层，视野开阔，空气环境优美,大泽碧桂园山湖湾 -其他城区,3室2厅 | 93平米 | 西南 | 毛坯 | 中楼层(共20层)  | 板楼,87人关注 / 一年前发布,48,"5,162元/平"
越秀星汇名庭3房2厅 89方 向南户型,越秀星汇名庭 -鹤山市,3室2厅 | 89平米 | 南 | 毛坯 | 低楼层(共32层)  | 暂无数据,0人关注 / 一年前发布,66.5,"7,472元/平"
坚美园，环境好，地段好，生活便捷,坚美园 -鹤山市,3室2厅 | 123.7平米 | 南 | 精装 | 高楼层(共28层)  | 塔楼,0人关注 / 一年前发布,120,"9,701元/平"
南湖一号东南单边独栋望河流中层单位,南湖壹号 -枢纽新城,4室2厅 | 116.04平米 | 东南 | 毛坯 | 中楼层(共28层)  | 塔楼,1人关注 / 9个月以前发布,140.8,"12,134元/平"
共和碧桂园 格局方正 视野开阔,共和碧桂园翠湖畔 -鹤山市,3室2厅 | 108.3平米 | 南 | 其他 | 低楼层(共32层)  | 暂无数据,0人关注 / 一年前发布,76,"7,018元/平"
越秀星汇名庭，小区管理好，人车分离的优质小区。,越秀星汇名庭 -鹤山市,4室2厅 | 125平米 | 东南 | 毛坯 | 高楼层(共32层)  | 塔楼,1人关注 / 一年前发布,88.8,"7,104元/平"
绿地公园城 全明格局 户型方正 精装修,绿地公园城 -鹤山市,4室2厅 | 123平米 | 东南 南 | 精装 | 高楼层(共33层)  | 暂无数据,2人关注 / 10个月以前发布,147,"11,952元/平"
鹤山新华城新市区 南北对流大户型   位置靓,鹤山新华城 -鹤山市,3室2厅 | 128平米 | 东南 西北 | 毛坯 | 高楼层(共30层)  | 塔楼,0人关注 / 一年前发布,108,"8,438元/平"
越秀星汇名庭.4房2厅大户型，交通便利,越秀星汇名庭 -鹤山市,4室2厅 | 125平米 | 南 | 毛坯 | 低楼层(共32层)  | 板楼,0人关注 / 一年前发布,89.8,"7,184元/平"
三房实用户型，楼层靓，采光好。,时代春树里 -鹤山市,3室2厅 | 98平米 | 南 北 | 精装 | 低楼层(共27层)  | 塔楼,0人关注 / 6个月以前发布,78,"7,960元/平"
鹤山新华城新市区 南北对流大户型   位置靓,鹤山新华城 -鹤山市,3室2厅 | 128平米 | 东南 西北 | 毛坯 | 高楼层(共30层)  | 塔楼,0人关注 / 一年前发布,108,"8,438元/平"
越秀星汇名庭，小区管理好，人车分离的优质小区。,越秀星汇名庭 -鹤山市,4室2厅 | 125平米 | 东南 | 毛坯 | 高楼层(共32层)  | 塔楼,1人关注 / 一年前发布,88.8,"7,104元/平"
小区读书方便，房子格局通风采光好，小区绿化高。,金碧嘉园 -鹤山市,3室2厅 | 109.59平米 | 南 北 | 毛坯 | 低楼层(共16层)  | 塔楼,0人关注 / 一年前发布,72,"6,570元/平"
凤山水岸正规三房  中楼层采光好户型方正,凤山水岸 -双龙,3室2厅 | 117.5平米 | 东南 | 毛坯 | 低楼层(共18层)  | 板塔结合,11人关注 / 一年前发布,110,"9,362元/平"
鹤山新华城，高楼层，观景好位置靓,鹤山新华城 -鹤山市,3室2厅 | 111.3平米 | 东南 南 | 毛坯 | 高楼层(共29层)  | 塔楼,19人关注 / 一年前发布,102,"9,165元/平"
碧桂园天汇大三房，南北对流格局好，无遮挡。,碧桂园天汇 -鹤山市,3室2厅 | 119平米 | 南 北 | 精装 | 低楼层(共33层)  | 平房,2人关注 / 一年前发布,100,"8,404元/平"
富力电梯高层3房，大品牌小区，价格低廉诚心出售,富力·尚悦居 -鹤山市,3室2厅 | 96平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,1人关注 / 9个月以前发布,50,"5,209元/平"
高档小区.动静分区.随时联系约看,时代春树里 -鹤山市,3室2厅 | 96平米 | 南 | 精装 | 高楼层(共27层)  | 暂无数据,0人关注 / 一年前发布,80,"8,334元/平"
江景正规三房，小区绿化高，业主诚意出售 看房方便,奕聪花园 -外海,3室2厅 | 99.2平米 | 东南 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 一年前发布,98,"9,880元/平"
金色海伦湾 3室2厅 东南,金色海伦湾 -外海,3室2厅 | 97.5平米 | 东南 | 精装 | 中楼层(共32层)  | 板楼,3人关注 / 一年前发布,112,"11,488元/平"
大昌花园 四房两厅 带家私 低楼层 正南户型,大昌花园 -鹤山市,3室2厅 | 145.12平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,2人关注 / 11个月以前发布,43.5,"2,998元/平"
时代倾城，时代中国，时代物业，精装修靓房,时代倾城（鹤山） -鹤山市,3室2厅 | 94平米 | 南 | 精装 | 低楼层(共28层)  | 暂无数据,0人关注 / 3个月以前发布,80,"8,511元/平"
位置靓，小区环境更正！睇房方便！,越秀·星汇名庭 -北新区,3室2厅 | 125平米 | 南 | 毛坯 | 高楼层(共31层)  | 板塔结合,1人关注 / 一年前发布,194.5,"15,560元/平"
南湖壹号 4室2厅 北,南湖壹号 -枢纽新城,4室2厅 | 117平米 | 北 | 毛坯 | 中楼层(共28层)  | 板塔结合,0人关注 / 10个月以前发布,135,"11,539元/平"
财富广场 采光性好 配套设施齐全 交通便利,财富广场 -鹤山市,3室1厅 | 84平米 | 南 北 | 毛坯 | 高楼层(共15层)  | 塔楼,3人关注 / 一年前发布,60,"7,143元/平"
碧桂园天汇，高层望远景，112平方，三房两厅,碧桂园天汇 -鹤山市,3室2厅 | 112平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,3人关注 / 一年前发布,95,"8,483元/平"
新华城电梯房靓楼层，户型方正，居住环境舒适,鹤山新华城 -鹤山市,3室2厅 | 124.3平米 | 南 | 毛坯 | 高楼层(共29层)  | 塔楼,0人关注 / 一年前发布,98,"7,885元/平"
新华城，小区环境优美，户型格局方正，中楼层 采光好,鹤山新华城 -鹤山市,3室2厅 | 128.68平米 | 东南 | 毛坯 | 中楼层(共23层)  | 塔楼,0人关注 / 一年前发布,105,"8,160元/平"
业主诚心出售    位置好   小户型,越秀·星汇名庭 -北新区,2室2厅 | 95.49平米 | 东南 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 10个月以前发布,155,"16,233元/平"
天汇三房全新未住过，干净整洁，随时看房,碧桂园天汇 -鹤山市,3室2厅 | 112平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 8个月以前发布,109,"9,733元/平"
西江边高楼层小三房，业主诚心出售，户型方正,金色海伦湾 -外海,3室2厅 | 90平米 | 东南 | 毛坯 | 高楼层(共24层)  | 板塔结合,0人关注 / 8个月以前发布,95,"10,556元/平"
房子是中高楼层的四房，双阳台南北对流，通风效果好,海伦湾 -外海,4室2厅 | 112平米 | 东北 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 8个月以前发布,137,"12,233元/平"
大泽碧桂园电梯房，视野宽阔，简约上档次，空间感强,大泽碧桂园山湖湾 -其他城区,3室2厅 | 91.13平米 | 南 | 毛坯 | 高楼层(共20层)  | 暂无数据,0人关注 / 一年前发布,49.8,"5,465元/平"
海伦湾电梯高层！正规大三房，毛坯价出售！,金色海伦湾 -外海,3室2厅 | 98.5平米 | 东 东南 | 毛坯 | 高楼层(共30层)  | 板塔结合,0人关注 / 一年前发布,100,"10,153元/平"
精装修大四房，价格优惠，户型方正,连海苑 -外海,4室2厅 | 139.96平米 | 南 | 精装 | 低楼层(共12层)  | 板塔结合,1人关注 / 一年前发布,128,"9,146元/平"
简装刚需海伦湾一期小三房，好改造亦可直接入住,海伦湾 -外海,3室2厅 | 87.03平米 | 西南 | 简装 | 低楼层(共31层)  | 塔楼,0人关注 / 一年前发布,98.8,"11,353元/平"
江景毛坯洋房  视野开阔  高楼层  诚意出售,海伦湾 -外海,3室2厅 | 116平米 | 南 | 毛坯 | 高楼层(共25层)  | 板楼,0人关注 / 一年前发布,136,"11,725元/平"
城市一号 低头就是大润发 业主诚心出售,城市一号 -鹤山市,2室2厅 | 72.75平米 | 南 | 毛坯 | 中楼层(共23层)  | 板楼,0人关注 / 一年前发布,55.1,"7,574元/平"
毛胚江景一线三房，中高楼层，视野好,奕聪花园 -外海,3室1厅 | 91.1平米 | 北 | 毛坯 | 高楼层(共32层)  | 塔楼,5人关注 / 一年前发布,80,"8,782元/平"
中高楼层小三房，视野开阔，适合刚需用户,悦海轩 -外海,3室2厅 | 88.36平米 | 南 | 毛坯 | 高楼层(共19层)  | 板塔结合,0人关注 / 一年前发布,85,"9,620元/平"
毛胚江景一线三房，中高楼层，视野好,奕聪花园 -外海,3室1厅 | 91.1平米 | 北 | 毛坯 | 高楼层(共32层)  | 塔楼,5人关注 / 一年前发布,80,"8,782元/平"
中高楼层小三房，视野开阔，适合刚需用户,悦海轩 -外海,3室2厅 | 88.36平米 | 南 | 毛坯 | 高楼层(共19层)  | 板塔结合,0人关注 / 一年前发布,85,"9,620元/平"
蓬江区越秀星汇名庭，双紫茶，高品质小区,越秀·星汇名庭 -北新区,3室2厅 | 103平米 | 东南 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 5个月以前发布,180,"17,476元/平"
顶楼毛坯复式 边楼无遮挡 一览山景 对流户型 采光好,骏景湾品峰 -双龙,4室2厅 | 159.64平米 | 东南 | 毛坯 | 高楼层(共32层)  | 暂无数据,2人关注 / 一年前发布,227.5,"14,251元/平"
精装三房，成熟片区，生活便利，交通方便。,迎宾大道西102号之二号 -双龙,3室2厅 | 81平米 | 南 | 精装 | 高楼层(共9层)  | 暂无数据,0人关注 / 一年前发布,48,"5,926元/平"
尚岭新筑 毛坯 3房2厅1卫  诚意出售,尚岭新筑 -双龙,3室2厅 | 96.3平米 | 南 | 毛坯 | 低楼层(共11层)  | 暂无数据,2人关注 / 一年前发布,92,"9,554元/平"
尚岭新筑，此户型 南北对流户型。采光好,尚岭新筑 -双龙,3室2厅 | 96平米 | 北 | 毛坯 | 低楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,96,"10,000元/平"
五福五街小区 3室2厅 东北,五福五街小区 -双龙,3室2厅 | 116平米 | 东北 | 简装 | 中楼层(共9层)  | 板楼,0人关注 / 2个月以前发布,78,"6,725元/平"
尚岭新筑12层 南北对流户型方正大四房，业主原价出售,尚岭新筑 -双龙,4室2厅 | 130.19平米 | 南 | 毛坯 | 中楼层(共18层)  | 平房,0人关注 / 一年前发布,121,"9,295元/平"
"品质成熟小区 嘉悦名都 电梯三房,顶楼自用",嘉悦名都 -鹤山市,3室2厅 | 102.95平米 | 南 | 毛坯 | 高楼层(共8层)  | 暂无数据,0人关注 / 一年前发布,80,"7,771元/平"
格局方正 采光通风好 交通方便 配套齐全 鹤山公园旁,华虹名门 -鹤山市,3室2厅 | 124平米 | 南 | 毛坯 | 中楼层(共32层)  | 塔楼,1人关注 / 一年前发布,92.8,"7,484元/平"
大泽碧桂园山湖湾，3房2卫，毛呸，格局方正,大泽碧桂园山湖湾 -其他城区,3室2厅 | 93平米 | 南 | 毛坯 | 中楼层(共20层)  | 板楼,0人关注 / 一年前发布,48,"5,162元/平"
凤山二期旁 南北对流 电梯中层不靠路 3房带套间,熙悦轩 -双龙,3室2厅 | 93.06平米 | 南 | 毛坯 | 中楼层(共16层)  | 塔楼,4人关注 / 一年前发布,108,"11,606元/平"
电梯高层，3房，精装修，未入住，阳台望小区园林。,上城嘉泰 -育德,3室2厅 | 91.9平米 | 南 | 简装 | 高楼层(共29层)  | 塔楼,1人关注 / 一年前发布,139,"15,126元/平"
松鹤国际新城跃式大厅，靓楼层！精装洋房,松鹤国际新城 -鹤山市,3室2厅 | 120平米 | 北 | 精装 | 中楼层(共28层)  | 塔楼,9人关注 / 一年前发布,90,"7,500元/平"
碧水湾！小区管理完善！电梯洋房中楼层合适大众人群！,粤宇碧水湾 -鹤山市,3室2厅 | 97.7平米 | 东北 | 毛坯 | 高楼层(共11层)  | 板楼,1人关注 / 一年前发布,66,"6,756元/平"
江海碧桂园，精装修3房高层望别墅,江海碧桂园 -外海,3室2厅 | 91平米 | 东南 | 精装 | 高楼层(共32层)  | 暂无数据,0人关注 / 6个月以前发布,95,"10,440元/平"
昆英绿洲 实用三房 过户税费低 小区地理位置优越,昆英绿洲 -鹤山市,3室2厅 | 88.8平米 | 东南 南 | 精装 | 低楼层(共12层)  | 塔楼,2人关注 / 9个月以前发布,72.8,"8,199元/平"
房屋格局好 采光好 双阳台南北对流,华虹名门 -鹤山市,4室2厅 | 158.35平米 | 南 | 毛坯 | 高楼层(共32层)  | 塔楼,8人关注 / 一年前发布,107,"6,758元/平"
昆英绿洲小区！北湖公园旁！采光通风好！,昆英绿洲 -鹤山市,3室2厅 | 90平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,1人关注 / 一年前发布,71.8,"7,978元/平"
此房源采光好楼层靓业主诚心出售,鹤山广场 -鹤山市,4室2厅 | 142.9平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 3个月以前发布,124,"8,678元/平"
城市一号  毛坯  户型好   电梯洋房,城市一号 -鹤山市,3室2厅 | 100.79平米 | 北 | 毛坯 | 低楼层(共26层)  | 暂无数据,0人关注 / 一年前发布,85,"8,434元/平"
坚美园全新房屋 三房户型 近坚美广场 鹤山总站,坚美园 -鹤山市,3室2厅 | 106平米 | 南 | 毛坯 | 低楼层(共14层)  | 塔楼,2人关注 / 一年前发布,83,"7,831元/平"
保利中韵位置靓 低于发票价出售 税费低,保利中央花园中韵 -鹤山市,3室2厅 | 115平米 | 东南 西北 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 7个月以前发布,94,"8,174元/平"
腾基御苑   电梯小区  通透格局   任意设计你理想的家,腾基御苑 -其他城区,2室2厅 | 83.04平米 | 东 | 毛坯 | 高楼层(共17层)  | 暂无数据,1人关注 / 一年前发布,45,"5,420元/平"
粤宇碧水湾  两室  约看方便  户型方正,粤宇碧水湾 -鹤山市,2室2厅 | 70.84平米 | 南 | 毛坯 | 低楼层(共11层)  | 塔楼,0人关注 / 一年前发布,48,"6,776元/平"
新华城洋房出售 小区管理 配套齐全,鹤山新华城 -鹤山市,3室2厅 | 113平米 | 南 | 毛坯 | 中楼层(共25层)  | 塔楼,7人关注 / 一年前发布,88,"7,788元/平"
融创一期，四房两厅两卫，南北对流，户型实用,融创御府 -鹤山市,4室2厅 | 126平米 | 南 | 毛坯 | 低楼层(共33层)  | 塔楼,0人关注 / 5个月以前发布,72,"5,715元/平"
莱茵花园，小区管理，3楼带露台30平方，装修保养新,莱茵花园 -鹤山市,3室2厅 | 120平米 | 南 | 精装 | 中楼层(共8层)  | 暂无数据,19人关注 / 一年前发布,51,"4,250元/平"
中山二巷  交通方便 配套齐全 采光好,中山二巷 -鹤山市,3室2厅 | 86.62平米 | 南 | 简装 | 高楼层(共5层)  | 暂无数据,5人关注 / 一年前发布,20,"2,309元/平"
金碧嘉园3房，中层，视野好，采光好，格局方正,金碧嘉园 -鹤山市,3室2厅 | 98.5平米 | 南 | 毛坯 | 高楼层(共16层)  | 板楼,3人关注 / 一年前发布,65,"6,599元/平"
人车分流小区 改造空间大 视野无遮挡采光好,爱琴湾 -鹤山市,3室2厅 | 94平米 | 南 | 毛坯 | 中楼层(共17层)  | 塔楼,1人关注 / 一年前发布,65.8,"7,000元/平"
兴业苑中层，房屋格局方正实用，朝向好，采光足,兴业苑 -鹤山市,3室2厅 | 96平米 | 南 | 简装 | 高楼层(共6层)  | 平房,5人关注 / 一年前发布,28.8,"3,000元/平"
鹤山十里方圆大雅  150㎡大三房精装修 全新装修没住过,十里方圆―大雅 -鹤山市,3室2厅 | 160.2平米 | 南 | 精装 | 低楼层(共29层)  | 板楼,1人关注 / 一年前发布,151,"9,426元/平"
此房楼龄新，地段好，配套完善 诚心出售,江海怡景湾 -府西,4室2厅 | 120.54平米 | 东南 | 简装 | 中楼层(共30层)  | 暂无数据,0人关注 / 4个月以前发布,157,"13,025元/平"
无遮挡望鹤山公园，景观开阔，采光充足,绿地公园城 -鹤山市,4室2厅 | 129平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,3人关注 / 10个月以前发布,120,"9,303元/平"
时代倾城准新房   温馨三房  楼层好  采光充足,时代倾城（鹤山） -鹤山市,3室2厅 | 94平米 | 东南 | 精装 | 中楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,70,"7,447元/平"
雅景花园(蓬江区) 3室2厅 南,雅景花园(蓬江区) -江华港口,3室2厅 | 123平米 | 南 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 2个月以前发布,94.8,"7,708元/平"
高楼层大三房，业主诚心出售，通风采光好,龙溪新城 -外海,3室2厅 | 108.29平米 | 东 南 | 毛坯 | 高楼层(共30层)  | 板塔结合,0人关注 / 一年前发布,103,"9,512元/平"
笋盘 业主急售 一手现楼 收楼未入住,万和嘉苑 -鹤山市,3室2厅 | 117.69平米 | 东 | 其他 | 高楼层(共9层)  | 暂无数据,0人关注 / 3个月以前发布,54,"4,589元/平"
隔山街 健康城 3房2厅带套间 保养新净 楼顶自用,沙坪镇隔山街 -鹤山市,3室2厅 | 106平米 | 东 | 简装 | 高楼层(共8层)  | 平房,4人关注 / 一年前发布,31,"2,925元/平"
座北向南一字厅.采光充足.大三房带套间.视野开阔,南景华府 -鹤山市,3室2厅 | 115平米 | 南 | 毛坯 | 中楼层(共8层)  | 板楼,2人关注 / 一年前发布,65,"5,653元/平"
户型方正，采光好，视野开阔，地理位置好,大湾里 -双龙,3室2厅 | 91平米 | 西南 | 简装 | 高楼层(共8层)  | 暂无数据,1人关注 / 一年前发布,41,"4,506元/平"
业主诚意售，精装，采光好，家私电器齐全，拎包即入住,凯旋城 -鹤山市,3室2厅 | 124.78平米 | 东南 | 精装 | 高楼层(共18层)  | 塔楼,13人关注 / 一年前发布,95,"7,614元/平"
保利一期刚需3房，高层视野无遮挡看小区园林景观,保利·中宇花园 -滨江新区,3室2厅 | 91平米 | 东南 | 毛坯 | 高楼层(共25层)  | 塔楼,3人关注 / 一年前发布,108,"11,869元/平"
邻近江门大道 交通便利 越秀盛悦小三房,越秀滨江·盛悦 -滨江新区,3室2厅 | 86.71平米 | 东 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 7个月以前发布,93,"10,726元/平"
越秀星汇名庭，全新没入住，小区环境好，封闭式小区,越秀星汇名庭 -鹤山市,3室2厅 | 89.9平米 | 南 | 毛坯 | 高楼层(共32层)  | 暂无数据,0人关注 / 一年前发布,83,"9,233元/平"
华茵桂语 3房2厅2卫 看小区中间园景 毛坯交付,华茵桂语 -滨江新区,3室2厅 | 97平米 | 南 北 | 毛坯 | 高楼层(共23层)  | 塔楼,0人关注 / 8个月以前发布,122,"12,578元/平"
沙坪6字头电梯楼 满二 中间楼层采光好 不靠路,爱琴湾 -鹤山市,3室2厅 | 95.54平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,58,"6,071元/平"
鹤山时代倾城 全新小区 户型方正实用,时代倾城（鹤山） -鹤山市,3室2厅 | 93.24平米 | 南 | 简装 | 中楼层(共28层)  | 暂无数据,0人关注 / 一年前发布,70,"7,508元/平"
西江边中高层大三房，户型方正，视野好，业主诚心出售,金色海伦湾 -外海,3室2厅 | 97.5平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,1人关注 / 4个月以前发布,92,"9,436元/平"
云玺精装带家私电器 景观好 望别墅区 低价出售,十里方圆云玺 -鹤山市,4室1厅 | 122.7平米 | 南 北 | 精装 | 高楼层(共32层)  | 平房,0人关注 / 1个月以前发布,105,"8,558元/平"
滨江保利中宇花园，毛呸，中高层，业主诚意出售,保利·中宇花园 -滨江新区,4室2厅 | 124.65平米 | 北 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 一年前发布,145,"11,633元/平"
此房子已经满两年，三房套间，可以装修成自己喜欢的,锦富•汇景湾 -滨江新区,3室2厅 | 123.11平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 暂无数据,0人关注 / 一年前发布,159.8,"12,981元/平"
此房地段好，交通便利，采光和通风好，,天英·月珑湾 -滨江新区,3室2厅 | 98.43平米 | 北 | 毛坯 | 高楼层(共17层)  | 塔楼,2人关注 / 一年前发布,108.5,"11,024元/平"
越秀星汇名庭全新精装，户型方正，楼层靓，采光通透,越秀星汇名庭 -鹤山市,3室2厅 | 92平米 | 东南 | 精装 | 高楼层(共34层)  | 暂无数据,0人关注 / 7个月以前发布,81,"8,805元/平"
星河花园电梯房 干净整洁大三房,星河花园 -双龙,3室2厅 | 145平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 一年前发布,115,"7,932元/平"
低首付新装修 大客厅一线江景独立阳台,东华大厦 -江华港口,3室2厅 | 117平米 | 东 | 简装 | 高楼层(共39层)  | 板塔结合,3人关注 / 一年前发布,79,"6,753元/平"
东堤湾花园小区   步梯中层 南北对流一字楼,东堤湾花园 -江华港口,3室2厅 | 97.57平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,84.99,"8,711元/平"
云山诗意中间楼层，大户型洋房，双阳台不近路,方圆·鹤山云山诗意 -鹤山市,4室2厅 | 123平米 | 南 | 毛坯 | 中楼层(共31层)  | 暂无数据,2人关注 / 一年前发布,98,"7,968元/平"
华业丽景毛坯三房，户型端正，采光好,华业丽景花园 -鹤山市,3室2厅 | 93.81平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,72,"7,676元/平"
