标题,开发商,房子信息,发布信息,售价/万,单价
房子是电梯房适合养老人居住人文素质高,蓝天中央公园 -市政府商圈,2室2厅 | 94.26平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,0人关注 / 15天以前发布,57.5,"6,101元/平"
好房就像昙花，一现而过，再等既是千年。,劳动路社区 -顺河商圈,3室1厅 | 67平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,3人关注 / 5个月以前发布,21,"3,135元/平"
房子无公摊 好房源 急售。。。,康平家园 -鼎立商圈,3室2厅 | 130平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,59.9,"4,608元/平"
业主诚心出售 价格可谈 无大税 无抵押 南北通透,碧水蓝城二期 -集英街商圈,3室2厅 | 144.88平米 | 南 北 | 其他 | 高楼层(共18层)  | 塔楼,2人关注 / 一年前发布,113,"7,800元/平"
晋河花园毛坯随意装修看房方便了,晋河花园 -万达商圈,3室2厅 | 189.59平米 | 南 | 其他 | 低楼层(共31层)  | 板塔结合,1人关注 / 5个月以前发布,90,"4,748元/平"
大梁门外，繁华地段， 采光好，配套设施齐全交通便利,空压机厂商住楼 -相国寺商圈,3室2厅 | 103.49平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,44,"4,252元/平"
未来湖滨温馨小三室，包含一个车位，大家赶快来看房吧,湖滨花园 -集英街商圈,3室2厅 | 88平米 | 南 北 | 简装 | 低楼层(共18层)  | 板塔结合,7人关注 / 5个月以前发布,77,"8,750元/平"
永威公馆，三开间朝阳，急售无大税,永威梅隆公馆 -万达商圈,3室1厅 | 100.49平米 | 西南 | 毛坯 | 高楼层(共18层)  | 板塔结合,17人关注 / 5个月以前发布,69.6,"6,927元/平"
文旅B区大平层，没有大税精装修随时看房,开封恒大文化旅游城 -祥符区,4室2厅 | 179平米 | 南 | 其他 | 高楼层(共30层)  | 板塔结合,0人关注 / 12天以前发布,104,"5,811元/平"
地理位置优越，此房格局方正，房子有本随时过户,水岸家园 -集英街商圈,3室2厅 | 110平米 | 南 | 其他 | 低楼层(共25层)  | 板塔结合,3人关注 / 一年前发布,88,"8,000元/平"
南北通透格局采光充足，配套设施齐全，交通便利,香樟公馆 -橄榄城商圈,3室2厅 | 113.79平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,112.8,"9,913元/平"
西湖东岸三叶草大三房，全款房无需解押，手续全诚意出,开元华庭 -开元商圈,3室2厅 | 143.94平米 | 南 北 | 毛坯 | 低楼层(共24层)  | 板楼,1人关注 / 2个月以前发布,115,"7,990元/平"
如果可以毛坯现房，何必还期房呢？,博望天城 -橄榄城商圈,3室2厅 | 116.49平米 | 南 北 | 其他 | 低楼层(共19层)  | 暂无数据,0人关注 / 2个月以前发布,57.5,"4,937元/平"
碧水蓝城二期电梯洋房，靠西湖，环境优美,碧水蓝城二期 -集英街商圈,3室2厅 | 129.13平米 | 南 | 其他 | 高楼层(共9层)  | 塔楼,0人关注 / 5个月以前发布,177,"13,708元/平"
户型方正，价格合适，大家多推推。,晋河花园 -万达商圈,3室2厅 | 153.74平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 板楼,4人关注 / 8个月以前发布,74,"4,814元/平"
晋河花园 4室2厅 南,晋河花园 -万达商圈,4室2厅 | 187.93平米 | 南 | 其他 | 高楼层(共31层)  | 暂无数据,0人关注 / 2个月以前发布,90,"4,790元/平"
郑开印象城   写字楼简装  看房方便有钥匙,郑开·印象城 -万达商圈,3室2厅 | 93.87平米 | 北 | 简装 | 低楼层(共17层)  | 板塔结合,319人关注 / 一年前发布,39,"4,155元/平"
"永威精装小三房,税满两年手续齐全，居住舒适。",永威梅隆公馆 -万达商圈,3室2厅 | 99.3平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,20人关注 / 7个月以前发布,78,"7,855元/平"
晖达三期精装三室两厅两卫拎包入住,晖达新世界三期 -西湖商圈,3室2厅 | 108.92平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,0人关注 / 1个月以前发布,94,"8,631元/平"
顺苑小区高楼层采光无遮挡，生活交通便利，小区位置好,顺苑小区 -相国寺商圈,3室2厅 | 88.28平米 | 南 | 简装 | 高楼层(共9层)  | 板楼,10人关注 / 一年前发布,39.8,"4,509元/平"
户型方正，视野开阔，采光充足，配套齐全,西苑D区 -大王屯商圈,2室2厅 | 101.78平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,42.5,"4,176元/平"
房子无公摊 好房源 急售。。。,康平家园 -鼎立商圈,3室2厅 | 130平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,59.9,"4,608元/平"
业主诚心出售 价格可谈 无大税 无抵押 南北通透,碧水蓝城二期 -集英街商圈,3室2厅 | 144.88平米 | 南 北 | 其他 | 高楼层(共18层)  | 塔楼,2人关注 / 一年前发布,113,"7,800元/平"
精装修，契税满两年，户型方正，采光充足,晋河花园 -万达商圈,3室2厅 | 133.35平米 | 南 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,80,"6,000元/平"
晋河花园毛坯随意装修看房方便了,晋河花园 -万达商圈,3室2厅 | 189.59平米 | 南 | 其他 | 低楼层(共31层)  | 板塔结合,1人关注 / 5个月以前发布,90,"4,748元/平"
晋河花园业主诚心出售，户型通透 采光好宽敞四方,晋河花园 -万达商圈,4室2厅 | 150.86平米 | 北 南 | 毛坯 | 中楼层(共32层)  | 塔楼,7人关注 / 一年前发布,74,"4,906元/平"
新上润城东区小三房 毛坯 好楼层 满五唯一 业主诚信,润城东区 -集英街商圈,3室2厅 | 89.28平米 | 南 | 其他 | 低楼层(共28层)  | 板塔结合,6人关注 / 10个月以前发布,65,"7,281元/平"
西湖边公园，出行便利，小区位置优越，教育资源丰富,湖滨花园 -集英街商圈,3室2厅 | 124.62平米 | 南 | 其他 | 高楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,100,"8,025元/平"
奇瑞金域华府 2室2厅 南 北,奇瑞金域华府 -万达商圈,2室2厅 | 86.07平米 | 南 北 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 10天以前发布,53,"6,158元/平"
四室洋房，户型方正。四开间朝南，环境优美，业主急售,晖达新世界三期 -西湖商圈,4室2厅 | 139.46平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,13人关注 / 7个月以前发布,137,"9,824元/平"
此房满五年，挨着小区水系，采   光  视野棒,郑开森林半岛 -万达商圈,3室2厅 | 144.89平米 | 南 | 其他 | 低楼层(共27层)  | 板楼,0人关注 / 1个月以前发布,130,"8,973元/平"
房子契税满两年没有大税 业主诚心出售 好户型好楼层,永威梅隆郡 -北站商圈,3室1厅 | 97.9平米 | 南 | 毛坯 | 低楼层(共26层)  | 暂无数据,1人关注 / 1个月以前发布,77,"7,866元/平"
有花，有草，有你，有他，有爱，有家。,郑开橄榄城丹堤 -西湖商圈,4室1厅 | 145.41平米 | 西 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 1个月以前发布,165,"11,348元/平"
嘉源小区 西环路翠庭尚都旁边 成熟地段,嘉源小区（西环路） -鼎立商圈,3室2厅 | 124.08平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,2人关注 / 5个月以前发布,59,"4,755元/平"
离西湖万达一步之遥 小区人车分流 住着安静,集英臻园 -万达商圈,3室2厅 | 130.15平米 | 北 南 | 毛坯 | 高楼层(共28层)  | 板楼,1人关注 / 1个月以前发布,78,"5,994元/平"
通风效果好，视野宽阔，采光充足，，南北双阳台,东方今典御府 -西湖商圈,3室1厅 | 118.95平米 | 南 | 其他 | 中楼层(共33层)  | 塔楼,2人关注 / 5个月以前发布,102.9,"8,651元/平"
低层双拼私人花园，洋房有联排和双拼,郑开茉莉公馆 -西湖商圈,4室2厅 | 201.95平米 | 南 | 毛坯 | 中楼层(共4层)  | 暂无数据,115人关注 / 7个月以前发布,329,"16,292元/平"
房子户型方正，有房本 ，毛坯房，户型无可挑剔,建业菊香里 -万达商圈,3室2厅 | 117平米 | 南 | 其他 | 中楼层(共26层)  | 板塔结合,1人关注 / 3个月以前发布,64,"5,471元/平"
三室两厅 中间楼层 诚心售房，价位合适,锦诚·盛世 -开大商圈,3室1厅 | 137.7平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,1人关注 / 5个月以前发布,72,"5,229元/平"
离西湖万达一步之遥 小区人车分流 住着安静,集英臻园 -万达商圈,3室2厅 | 130.15平米 | 北 南 | 毛坯 | 高楼层(共28层)  | 板楼,1人关注 / 1个月以前发布,78,"5,994元/平"
房子户型方正，有房本 ，毛坯房，户型无可挑剔,建业菊香里 -万达商圈,3室2厅 | 117平米 | 南 | 其他 | 中楼层(共26层)  | 板塔结合,1人关注 / 3个月以前发布,64,"5,471元/平"
低层双拼私人花园，洋房有联排和双拼,郑开茉莉公馆 -西湖商圈,4室2厅 | 201.95平米 | 南 | 毛坯 | 中楼层(共4层)  | 暂无数据,115人关注 / 7个月以前发布,329,"16,292元/平"
晋河花园大三室南北通透采光较好居住舒适。,晋河花园 -万达商圈,3室2厅 | 143.21平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板楼,5人关注 / 一年前发布,70,"4,888元/平"
晖达新世界紫檀 3室2厅 南 北,晖达新世界紫檀 -西湖商圈,3室2厅 | 95平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,69,"7,264元/平"
晖达新世界紫檀 4室2厅 南 北,晖达新世界紫檀 -西湖商圈,4室2厅 | 128平米 | 南 北 | 其他 | 中楼层(共18层)  | 暂无数据,1人关注 / 14天以前发布,96,"7,500元/平"
房子是三室两厅两卫 业主诚心出售 看房方便密码钥匙0,雅居乐金茂悦棠 -CBD商圈,3室2厅 | 104.47平米 | 南 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 9天以前发布,80,"7,658元/平"
房子精装修 可以拎包入住 业主比较好,郑开森林半岛 -万达商圈,3室2厅 | 143.66平米 | 南 | 其他 | 中楼层(共29层)  | 塔楼,0人关注 / 3个月以前发布,100,"6,961元/平"
有本随时过户，户型方正 动静分区  视野好,晖达新世界紫檀 -西湖商圈,3室2厅 | 126平米 | 西 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 15天以前发布,90,"7,143元/平"
好楼层，视野宽阔，采光充足 ....,郑开橄榄城丹堤 -西湖商圈,3室2厅 | 123.72平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,28人关注 / 一年前发布,142,"11,478元/平"
晋安路精装 电梯两居 采光充足 无遮挡,蓝天中央公园 -市政府商圈,2室2厅 | 94.26平米 | 南 | 其他 | 中楼层(共31层)  | 塔楼,0人关注 / 6个月以前发布,71,"7,533元/平"
房子在西环路南段 位置好 生活便利  带一个储藏室,开封市西环路干休所 -市政府商圈,3室2厅 | 110平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,68,"6,182元/平"
此小区配套成熟房子三开间朝南户型方正采光好,凤凰城(龙亭区) -大王屯商圈,3室2厅 | 128.78平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,3人关注 / 7个月以前发布,79.5,"6,174元/平"
萨拉曼卡 买87平多给60平 精装三室两厅,萨拉曼卡 -大王屯商圈,3室2厅 | 87.19平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,2人关注 / 3个月以前发布,51.3,"5,884元/平"
可观金明池全景视野光线好，有本可贷款，业主诚意出售,迪臣世博广场 -集英街商圈,3室2厅 | 127.18平米 | 南 | 其他 | 高楼层(共30层)  | 板塔结合,0人关注 / 9天以前发布,89,"6,998元/平"
碧水蓝城二期 大三房 户型通透 交通便利配套齐全,碧水蓝城二期 -集英街商圈,3室2厅 | 123.81平米 | 南 | 其他 | 中楼层(共18层)  | 塔楼,3人关注 / 一年前发布,95,"7,674元/平"
纪检委家属院 3室2厅 南,纪检委家属院 -市政府商圈,3室2厅 | 130平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,98,"7,539元/平"
新婚，置换必选好房，户型合理，入户门厅不在房本面积,伟业香堤湾 -集英街商圈,3室2厅 | 146.79平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,40人关注 / 一年前发布,102,"6,949元/平"
碧水蓝城二期小高层三室两厅一厨两卫简装,碧水蓝城二期 -集英街商圈,3室2厅 | 125.9平米 | 南 北 | 其他 | 中楼层(共18层)  | 塔楼,0人关注 / 一年前发布,110,"8,738元/平"
刚交付半年的新小区，环境绿化好，户型好，价格合适。,中南林樾 -西湖商圈,3室2厅 | 108.64平米 | 南 北 | 其他 | 中楼层(共27层)  | 暂无数据,0人关注 / 1个月以前发布,82,"7,548元/平"
品质小区，居住舒适性高。..........,郑开橄榄城一期 -西湖商圈,4室2厅 | 168.8平米 | 南 | 其他 | 低楼层(共6层)  | 板塔结合,5人关注 / 8个月以前发布,188,"11,138元/平"
星光天地旁 金耀绿城复式带露台,金耀绿城 -鼎立商圈,3室2厅 | 67.64平米 | 南 西 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,48,"7,097元/平"
品质小区。物业好。绿化赞，户型赞，适合居住,新晋美•悦都 -万达商圈,3室2厅 | 108.49平米 | 南 | 其他 | 高楼层(共21层)  | 板楼,2人关注 / 5个月以前发布,65,"5,992元/平"
橄榄城社区里纯洋房，公摊面积小,郑开茉莉公馆 -西湖商圈,4室2厅 | 181.16平米 | 南 | 其他 | 中楼层(共4层)  | 板楼,3人关注 / 3个月以前发布,278,"15,346元/平"
晖达一期洋房3室2厅2卫好楼层诚心出售,晖达新世界一期 -西湖商圈,3室2厅 | 119.88平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,117,"9,760元/平"
包公湖旁宜居三房，交通便利，生活方便,人行家属院 -相国寺商圈,3室1厅 | 86.39平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,14人关注 / 一年前发布,39.9,"4,619元/平"
金鼎丽都 2室2厅 西南,金鼎丽都 -集英街商圈,2室2厅 | 95平米 | 西南 | 其他 | 高楼层(共29层)  | 板塔结合,0人关注 / 14天以前发布,65,"6,843元/平"
黄河大街金耀绿城小两室业主急售，价格可谈！,金耀绿城 -鼎立商圈,2室1厅 | 78.43平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,1人关注 / 3个月以前发布,41,"5,228元/平"
宏泰怡园步梯四楼，带储藏室，位置好。,宏泰怡园 -市政府商圈,3室2厅 | 145.2平米 | 南 | 其他 | 中楼层(共6层)  | 塔楼,1人关注 / 2个月以前发布,63,"4,339元/平"
业主急售，萨拉曼卡步梯二楼，拎包入住,萨拉曼卡 -大王屯商圈,3室2厅 | 89.45平米 | 南 北 | 其他 | 中楼层(共5层)  | 板塔结合,0人关注 / 8个月以前发布,62,"6,932元/平"
此房楼层一楼，户型通透，适合仁和人群，拎包入住,大宏世纪新城 -铁塔商圈,3室1厅 | 127.8平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,79,"6,182元/平"
此房精装六楼 户型方正南北通风,仁和苑 -四季城商圈,3室2厅 | 128.48平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,54.5,"4,242元/平"
好位置　中间层　三室朝阳　采光充足　,德福苑 -铁塔商圈,3室2厅 | 135.4平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,12人关注 / 8个月以前发布,53.5,"3,952元/平"
金康苑3室2厅，有储藏室，户型方正，手续齐全,金康苑 -市政府商圈,3室2厅 | 106.53平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,1人关注 / 3个月以前发布,66.8,"6,271元/平"
步梯二楼，户型方正，有暖气，室内采光好,聚福源 -相国寺商圈,3室2厅 | 134.24平米 | 南 北 | 简装 | 中楼层(共4层)  | 板塔结合,0人关注 / 1个月以前发布,89,"6,630元/平"
房子低楼层  南北通透  户型合理 采光好,古城花园 -相国寺商圈,3室2厅 | 109平米 | 南 北 | 简装 | 中楼层(共4层)  | 暂无数据,5人关注 / 5个月以前发布,60,"5,505元/平"
此房满五不唯一，诚信出售看房方便，好楼层通透性好,蝶御花园 -市政府商圈,3室2厅 | 119.66平米 | 南 北 | 简装 | 中楼层(共18层)  | 板塔结合,12人关注 / 6个月以前发布,86,"7,188元/平"
小区已改造好，生活便利，交通方便。,苹果园东北区 -铁塔商圈,3室1厅 | 76.51平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,11人关注 / 一年前发布,22,"2,876元/平"
南区带露台复式，少有房源，可贷款,陇海新村 -火车站商圈,4室2厅 | 120.41平米 | 南 | 其他 | 高楼层(共5层)  | 暂无数据,4人关注 / 一年前发布,57,"4,734元/平"
慧远花苑 步梯一楼 两室两厅 大客厅 带储藏室一间,慧远花苑 -市政府商圈,2室2厅 | 114.01平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,13人关注 / 一年前发布,61.6,"5,404元/平"
此房楼层佳，东边户采光好，环境优美，毛坯房,安联优悦城 -四季城商圈,3室2厅 | 92.29平米 | 南 北 | 其他 | 中楼层(共16层)  | 板楼,2人关注 / 11个月以前发布,66.6,"7,217元/平"
萨拉曼卡 买87平多给60平 精装三室两厅,萨拉曼卡 -大王屯商圈,3室2厅 | 87.19平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,2人关注 / 3个月以前发布,51.3,"5,884元/平"
可观金明池全景视野光线好，有本可贷款，业主诚意出售,迪臣世博广场 -集英街商圈,3室2厅 | 127.18平米 | 南 | 其他 | 高楼层(共30层)  | 板塔结合,0人关注 / 9天以前发布,89,"6,998元/平"
西湖观邸 2室2厅 西南,西湖观邸 -集英街商圈,2室2厅 | 84.99平米 | 西南 | 其他 | 中楼层(共15层)  | 板塔结合,0人关注 / 5天以前发布,73,"8,590元/平"
临湖品质小区 全款无大税 小区绿化环境优美  配套成熟,碧水蓝城二期 -集英街商圈,3室2厅 | 129.13平米 | 南 | 简装 | 高楼层(共9层)  | 塔楼,24人关注 / 一年前发布,108,"8,364元/平"
可观金明池全景，有本可贷款，业主急售。,迪臣世博广场 -集英街商圈,3室2厅 | 127.18平米 | 南 | 其他 | 高楼层(共30层)  | 板塔结合,0人关注 / 9天以前发布,89,"6,998元/平"
纪检委家属院 3室2厅 南,纪检委家属院 -市政府商圈,3室2厅 | 130平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,98,"7,539元/平"
纯洋房小区电梯房好楼层，三室两卫，带储藏室,香樟公馆 -橄榄城商圈,3室1厅 | 127.51平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,75,"5,882元/平"
慧远花园一梯一户，手续齐全，全款房,慧远花苑 -市政府商圈,3室2厅 | 116.42平米 | 东南 | 简装 | 高楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,45,"3,866元/平"
新婚，置换必选好房，户型合理，入户门厅不在房本面积,伟业香堤湾 -集英街商圈,3室2厅 | 146.79平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,40人关注 / 一年前发布,102,"6,949元/平"
宏泰怡园步梯四楼，带储藏室，位置好。,宏泰怡园 -市政府商圈,3室2厅 | 145.2平米 | 南 | 其他 | 中楼层(共6层)  | 塔楼,1人关注 / 2个月以前发布,63,"4,339元/平"
此小区配套成熟房子三开间朝南户型方正采光好,凤凰城(龙亭区) -大王屯商圈,3室2厅 | 128.78平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,3人关注 / 7个月以前发布,79.5,"6,174元/平"
晋安路精装 电梯两居 采光充足 无遮挡,蓝天中央公园 -市政府商圈,2室2厅 | 94.26平米 | 南 | 其他 | 中楼层(共31层)  | 塔楼,0人关注 / 6个月以前发布,71,"7,533元/平"
碧水蓝城二期 大三房 户型通透 交通便利配套齐全,碧水蓝城二期 -集英街商圈,3室2厅 | 123.81平米 | 南 | 其他 | 中楼层(共18层)  | 塔楼,3人关注 / 一年前发布,95,"7,674元/平"
晋开御景湾电梯一楼精装三室，户型合理方正,晋开御景湾 -铁塔商圈,3室1厅 | 105平米 | 南 北 | 其他 | 低楼层(共11层)  | 板塔结合,0人关注 / 6个月以前发布,93,"8,858元/平"
御景湾电梯11楼，精装三室两厅，14年的房可按揭,晋开御景湾 -铁塔商圈,3室2厅 | 114.42平米 | 南 北 | 简装 | 高楼层(共11层)  | 板塔结合,5人关注 / 11个月以前发布,82,"7,167元/平"
双水双气 可按揭 急卖 随时看房,汉兴上品 -市政府商圈,2室2厅 | 89平米 | 南 | 简装 | 中楼层(共11层)  | 板塔结合,19人关注 / 一年前发布,71,"7,978元/平"
康乐家园 简装三室一厅  南北通透 产权清晰,康乐家园西区 -市政府商圈,3室1厅 | 88.5平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 6个月以前发布,33.3,"3,763元/平"
阳光新居 大梁路15号楼 中等装修 大三室 中层,阳光新居 -市政府商圈,3室2厅 | 157.75平米 | 东 西 | 其他 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,72,"4,565元/平"
橄榄城社区里纯洋房，公摊面积小,郑开茉莉公馆 -西湖商圈,4室2厅 | 181.16平米 | 南 | 其他 | 中楼层(共4层)  | 板楼,3人关注 / 3个月以前发布,278,"15,346元/平"
星光天地旁 金耀绿城复式带露台,金耀绿城 -鼎立商圈,3室2厅 | 67.64平米 | 南 西 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,48,"7,097元/平"
品质小区，居住舒适性高。..........,郑开橄榄城一期 -西湖商圈,4室2厅 | 168.8平米 | 南 | 其他 | 低楼层(共6层)  | 板塔结合,5人关注 / 8个月以前发布,188,"11,138元/平"
晖达一期洋房3室2厅2卫好楼层诚心出售,晖达新世界一期 -西湖商圈,3室2厅 | 119.88平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,117,"9,760元/平"
西湖印象 3室2厅 南 北,西湖印象 -橄榄城商圈,3室2厅 | 106平米 | 南 北 | 其他 | 高楼层(共27层)  | 板塔结合,0人关注 / 12天以前发布,89.5,"8,444元/平"
房子是三室两厅两卫 业主诚心出售 看房方便密码钥匙0,雅居乐金茂悦棠 -CBD商圈,3室2厅 | 104.47平米 | 南 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 9天以前发布,80,"7,658元/平"
房子精装修 可以拎包入住 业主比较好,郑开森林半岛 -万达商圈,3室2厅 | 143.66平米 | 南 | 其他 | 中楼层(共29层)  | 塔楼,0人关注 / 3个月以前发布,100,"6,961元/平"
品质小区。物业好。绿化赞，户型赞，适合居住,新晋美•悦都 -万达商圈,3室2厅 | 108.49平米 | 南 | 其他 | 高楼层(共21层)  | 板楼,2人关注 / 5个月以前发布,65,"5,992元/平"
双水双气 可按揭 急卖 随时看房,汉兴上品 -市政府商圈,2室2厅 | 89平米 | 南 | 简装 | 中楼层(共11层)  | 板塔结合,19人关注 / 一年前发布,71,"7,978元/平"
康乐家园 简装三室一厅  南北通透 产权清晰,康乐家园西区 -市政府商圈,3室1厅 | 88.5平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 6个月以前发布,33.3,"3,763元/平"
御景湾电梯11楼，精装三室两厅，14年的房可按揭,晋开御景湾 -铁塔商圈,3室2厅 | 114.42平米 | 南 北 | 简装 | 高楼层(共11层)  | 板塔结合,5人关注 / 11个月以前发布,82,"7,167元/平"
晋开御景湾电梯一楼精装三室，户型合理方正,晋开御景湾 -铁塔商圈,3室1厅 | 105平米 | 南 北 | 其他 | 低楼层(共11层)  | 板塔结合,0人关注 / 6个月以前发布,93,"8,858元/平"
阳光新居 大梁路15号楼 中等装修 大三室 中层,阳光新居 -市政府商圈,3室2厅 | 157.75平米 | 东 西 | 其他 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,72,"4,565元/平"
西西花园精装复式 满五唯一无个税,西西花园 -市政府商圈,3室2厅 | 152平米 | 东南 | 其他 | 高楼层(共6层)  | 板塔结合,1人关注 / 3个月以前发布,73,"4,803元/平"
黄河大街金耀绿城小两室业主急售，价格可谈！,金耀绿城 -鼎立商圈,2室1厅 | 78.43平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,1人关注 / 3个月以前发布,41,"5,228元/平"
晋安路精装 电梯两居 采光充足 无遮挡,蓝天中央公园 -市政府商圈,2室2厅 | 94.26平米 | 南 | 其他 | 中楼层(共31层)  | 塔楼,0人关注 / 6个月以前发布,71,"7,533元/平"
此小区配套成熟房子三开间朝南户型方正采光好,凤凰城(龙亭区) -大王屯商圈,3室2厅 | 128.78平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,3人关注 / 7个月以前发布,79.5,"6,174元/平"
房子在西环路南段 位置好 生活便利  带一个储藏室,开封市西环路干休所 -市政府商圈,3室2厅 | 110平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,68,"6,182元/平"
可观金明池全景视野光线好，有本可贷款，业主诚意出售,迪臣世博广场 -集英街商圈,3室2厅 | 127.18平米 | 南 | 其他 | 高楼层(共30层)  | 板塔结合,0人关注 / 9天以前发布,89,"6,998元/平"
萨拉曼卡 买87平多给60平 精装三室两厅,萨拉曼卡 -大王屯商圈,3室2厅 | 87.19平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,2人关注 / 3个月以前发布,51.3,"5,884元/平"
碧水蓝城二期 大三房 户型通透 交通便利配套齐全,碧水蓝城二期 -集英街商圈,3室2厅 | 123.81平米 | 南 | 其他 | 中楼层(共18层)  | 塔楼,3人关注 / 一年前发布,95,"7,674元/平"
纪检委家属院 3室2厅 南,纪检委家属院 -市政府商圈,3室2厅 | 130平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,98,"7,539元/平"
纯洋房小区电梯房好楼层，三室两卫，带储藏室,香樟公馆 -橄榄城商圈,3室1厅 | 127.51平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,75,"5,882元/平"
东方明珠带阁楼30平左右可住人，外侧大楼台,菊城•东方明珠 -铁塔商圈,2室1厅 | 105.31平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,7人关注 / 9个月以前发布,58,"5,508元/平"
公园路东街 2室1厅 南,公园路东街 -顺河商圈,2室1厅 | 43平米 | 南 | 简装 | 高楼层(共5层)  | 暂无数据,0人关注 / 2天以前发布,11,"2,559元/平"
该房手续满两年没有大税，毛坯房可根据自己喜好来装修,西湖翠庭 -开元商圈,3室2厅 | 139.6平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 板塔结合,1人关注 / 一年前发布,86,"6,161元/平"
伟宏天境 物业好 环境好 小区管理好 房子刚装修没有住,伟宏天境 -北站商圈,4室2厅 | 124.48平米 | 南 北 | 其他 | 中楼层(共26层)  | 塔楼,2人关注 / 一年前发布,96,"7,713元/平"
临湖品质小区 全款无大税 小区绿化环境优美  配套成熟,碧水蓝城二期 -集英街商圈,3室2厅 | 129.13平米 | 南 | 简装 | 高楼层(共9层)  | 塔楼,24人关注 / 一年前发布,108,"8,364元/平"
新婚，置换必选好房，户型合理，入户门厅不在房本面积,伟业香堤湾 -集英街商圈,3室2厅 | 146.79平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,40人关注 / 一年前发布,102,"6,949元/平"
西大街小区，四室一厅交通便利，采光充足，配套成熟,西大街小区 -相国寺商圈,4室1厅 | 120平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,0人关注 / 7个月以前发布,77,"6,417元/平"
