标题,开发商,房子信息,发布信息,售价/万,单价
阳光六层，精装两居，户型方正，价格美丽,税苑小区 -金桥商圈,2室2厅 | 114.1平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,13人关注 / 10个月以前发布,85,"7,450元/平"
地建·豪庭 4室2厅 南 北,地建·豪庭 -青山商圈,4室2厅 | 236平米 | 南 北 | 精装 | 低楼层(共22层)  | 塔楼,1人关注 / 一年前发布,400,"16,950元/平"
航苑小区，3带4   鼓楼少有户型，南北通透，能3代人,航苑小区 -东落凤商圈,5室3厅 | 211.55平米 | 南 北 | 精装 | 中楼层(共4层)  | 板楼,5人关注 / 一年前发布,440,"20,799元/平"
此房满五年精装修南北通透户型看房方便小区有绿化,天骋公寓南区 -东落凤商圈,4室3厅 | 154.25平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,2人关注 / 7个月以前发布,215,"13,939元/平"
格局好 ，视眼开阔 ，采光充足 ，物业管理严格,丰瑞·公园A区 -大学路商圈,4室2厅 | 157.71平米 | 南 北 | 其他 | 中楼层(共26层)  | 板楼,1人关注 / 一年前发布,165,"10,463元/平"
萬德福花园 3室2厅 南 北,萬德福花园 -东落凤商圈,3室2厅 | 197.53平米 | 南 北 | 精装 | 中楼层(共5层)  | 塔楼,8人关注 / 一年前发布,320,"16,201元/平"
呼铁局1号院 小高层  大露台 电梯房 新华广场,呼铁局1号院 -车站西街商圈,4室2厅 | 263平米 | 南 北 | 简装 | 高楼层(共15层)  | 板楼,8人关注 / 10个月以前发布,218,"8,289元/平"
精装修、家具家电再商量、拎包入住、好楼层,泽信▪加州华府 -成吉思汗东商圈,4室2厅 | 235平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,2人关注 / 5个月以前发布,310,"13,192元/平"
东落凤片内，2楼飞机户型，精装修,平远小区(东护城河北街) -东落凤商圈,3室2厅 | 116平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,5人关注 / 一年前发布,139.2,"12,000元/平"
盛世华庭，国标户型，看房方便，，，，,盛世华庭 -南湖商圈,3室2厅 | 130平米 | 南 | 毛坯 | 低楼层(共26层)  | 暂无数据,0人关注 / 3个月以前发布,130,"10,000元/平"
阳光诺卡精装修中间楼层 花园洋房,阳光诺卡一期 -成吉思汗西商圈,3室2厅 | 144平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,21人关注 / 一年前发布,187,"12,987元/平"
精装修、家具家电再商量、拎包入住、好楼层,泽信▪加州华府 -成吉思汗东商圈,4室2厅 | 235平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,2人关注 / 5个月以前发布,310,"13,192元/平"
阳光诺卡精装修中间楼层 花园洋房,阳光诺卡一期 -成吉思汗西商圈,3室2厅 | 144平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,21人关注 / 一年前发布,187,"12,987元/平"
精装修位置好 采光好 落地窗 暖气好四居 南北通透的,恩和家园 -锡小商圈,4室2厅 | 260平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,1人关注 / 9个月以前发布,364,"14,000元/平"
新城区 青山水恋精装，2年内房本随时看,青山水恋 -成吉思汗东商圈,3室1厅 | 78平米 | 东 | 精装 | 低楼层(共24层)  | 板楼,70人关注 / 一年前发布,113,"14,488元/平"
满五房本 南北通透 一带二带院 装修精致 配套成熟,海藤名苑星苑 -海东路商圈,4室2厅 | 321.09平米 | 南 北 | 精装 | 中楼层(共4层)  | 板楼,3人关注 / 4个月以前发布,300,"9,344元/平"
急售 万达商圈 精装修 五带六,兴诚花园小区 -团结商圈,4室2厅 | 164平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,12人关注 / 一年前发布,158,"9,635元/平"
成吉思汗大街商圈 产权清晰 随时可以签约 看房方便,天育星园 -成吉思汗西商圈,5室2厅 | 214平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,8人关注 / 一年前发布,157,"7,337元/平"
海亮 营坊道片 阳光楼层 采光无遮挡 看房方便,祥和三区 -祥和商圈,5室3厅 | 218平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,165,"7,569元/平"
新华联商圈  楼间距宽前后无遮挡 采光很好  户型方正,锦绣福源A区 -新华联商圈,4室2厅 | 240平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,3人关注 / 一年前发布,410,"17,084元/平"
新城区 八一市场，华新小区 ，房本5年外 。,华新小区 -八一商圈,3室2厅 | 146.38平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,130,"8,881元/平"
兴松小区 双阳卧户型 有本可贷款 精装修 看房方便,兴松小区 -八一商圈,3室2厅 | 144.04平米 | 南 北 | 精装 | 高楼层(共5层)  | 板塔结合,4人关注 / 一年前发布,152,"10,553元/平"
此房满5唯一，南北通透格局，双阳卧户型，5年外房本,城市维也纳 -八一商圈,3室2厅 | 158.91平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 一年前发布,235,"14,789元/平"
本小区紧靠金川主路 交通便利 小区设施齐全,上院小区 -金川开发区,4室3厅 | 248.81平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,7人关注 / 一年前发布,151,"6,069元/平"
贝尔路 楼层采光视野好 鸟瞰呼市全景,海亮誉峰 -海亮商圈,4室2厅 | 300平米 | 南 北 | 精装 | 高楼层(共47层)  | 塔楼,3人关注 / 11个月以前发布,360,"12,000元/平"
海亮誉峰大平米 定制装修 有本能贷款,海亮誉峰 -海亮商圈,4室2厅 | 300平米 | 南 北 | 精装 | 中楼层(共47层)  | 塔楼,6人关注 / 一年前发布,305,"10,167元/平"
东岸商圈.出行方便.小区环境好.采光好.联排别墅,东岸国际二期 -东岸商圈,5室3厅 | 378平米 | 南 北 | 精装 | 2层  | 暂无数据 | 联排别墅 ,11人关注 / 一年前发布,800,"21,165元/平"
房子真心出售，大平米住的舒心住的放心。,恒遠小區 -东风路商圈,3室2厅 | 128.7平米 | 南 北 | 简装 | 6层  | 板楼,3人关注 / 一年前发布,173,"13,443元/平"
东岸国际精装别墅  装修公司设计  景观河公园旁,东岸国际二期 -东岸商圈,5室2厅 | 370平米 | 南 北 | 精装 | 2层  | 暂无数据 | 联排别墅 ,8人关注 / 一年前发布,980,"26,487元/平"
东苑小区南门外运动楼层，配套设施完善,东苑小区 -南门外商圈,6室2厅 | 149平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,170,"11,410元/平"
精装修，大四居，交通便利，家具家电全留 带两个车位,恒泰盛都 -金桥商圈,4室2厅 | 220平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,7人关注 / 一年前发布,260,"11,819元/平"
华联名仕园点评！！！！！！！！！！！！！！！！！,华联名仕园（展东路） -东风路商圈,5室2厅 | 150.46平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,155,"10,302元/平"
旺第嘉华 4室2厅 南 北,旺第嘉华 -金桥商圈,4室2厅 | 302.48平米 | 南 北 | 精装 | 低楼层(共4层)  | 暂无数据,7人关注 / 一年前发布,400,"13,225元/平"
小区环境好，地铁2号线，精装修，采光好，南北通透,都市华庭 -海亮商圈,4室2厅 | 238.6平米 | 南 西 北 | 精装 | 低楼层(共20层)  | 板楼,3人关注 / 一年前发布,286,"11,987元/平"
中海铂悦府 改善宽厅大平层 位置好 全天采光,中海铂悦府 -中海商圈,5室2厅 | 235平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 3个月以前发布,390,"16,596元/平"
实际面积530平米！地暖挂暖双供暖系统！精装带阁楼！,兴泰·東河湾南区 -市政府商圈,10室3厅 | 411.3平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,6人关注 / 一年前发布,500,"12,157元/平"
居华园，五年外房本，5+6+7大复式结构，精装空置,桥华世纪村（居华四季） -桥华商圈,7室2厅 | 260.92平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,5人关注 / 一年前发布,398,"15,254元/平"
东岸二期 独栋别墅 挑高客厅 带露台,东岸国际二期 -东岸商圈,8室2厅 | 492.12平米 | 南 北 | 毛坯 | 3层  | 暂无数据 | 独栋别墅 ,1人关注 / 4个月以前发布,1700,"34,545元/平"
出行方便，无抵押贷款，看房方便，配套齐全,海外公寓 -东风路商圈,3室1厅 | 144平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,6人关注 / 11个月以前发布,155,"10,764元/平"
南门外 电梯房，复式 教育，办公多用 支持按揭贷款,亿科·公元2010 -南门外商圈,4室2厅 | 120平米 | 西 北 | 简装 | 低楼层(共25层)  | 板楼,7人关注 / 一年前发布,148,"12,334元/平"
铁欣佳苑2-2-1-1 63.83m² 110 万  六带七 使用面积大,铁欣佳苑 -胜利路商圈,2室2厅 | 63.83平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,90,"14,100元/平"
出行方便，交通便利，环境优雅，配套成熟，,万锦·领秀 -金桥商圈,6室2厅 | 137.7平米 | 北 南 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 3个月以前发布,265,"19,245元/平"
铁欣佳苑2-2-1-1 63.83m² 110 万  六带七 使用面积大,铁欣佳苑 -胜利路商圈,2室2厅 | 63.83平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,90,"14,100元/平"
六楼带阁楼 五塔花园 五年外房本,五塔花園 -嘉茂商圈,3室2厅 | 126平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,124,"9,842元/平"
石羊桥石东路小嘉茂电梯毛坯跃层有房本可按揭带阳台,富丽城A区 -石东路商圈,4室2厅 | 167平米 | 南 | 毛坯 | 中楼层(共15层)  | 板塔结合,1人关注 / 6个月以前发布,150,"8,983元/平"
精装电梯房，格局好，中间楼层，视野宽阔，采光充足,奈伦国际 -光华街商圈,4室2厅 | 201平米 | 南 北 | 精装 | 中楼层(共25层)  | 板楼,1人关注 / 一年前发布,202,"10,050元/平"
上上城  前后院 带地下室  可出租 出行方便,富丽城A区 -石东路商圈,5室2厅 | 235.3平米 | 南 北 | 简装 | 低楼层(共15层)  | 板塔结合,1人关注 / 一年前发布,356,"15,130元/平"
小区安全， 有物业， 有门卫； 停车方便,富邦商苑小区 -东落凤商圈,3室2厅 | 238平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,2人关注 / 一年前发布,230,"9,664元/平"
赛罕区金桥 3带4层 大五居室 全天采光 中间楼层单价低,闻都新苑 -金桥商圈,5室3厅 | 271.6平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 3个月以前发布,190,"6,996元/平"
南门外 电梯房，复式 教育，办公多用 支持按揭贷款,亿科·公元2010 -南门外商圈,4室2厅 | 120平米 | 西 北 | 简装 | 低楼层(共25层)  | 板楼,7人关注 / 一年前发布,148,"12,334元/平"
出行方便，无抵押贷款，看房方便，配套齐全,海外公寓 -东风路商圈,3室1厅 | 144平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,6人关注 / 11个月以前发布,155,"10,764元/平"
配套成熟。采光刺眼 生活便利   户型好,金宇文苑 -驰誉商圈,2室2厅 | 122平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,6人关注 / 一年前发布,170,"13,935元/平"
慧谷蓝庭大平米，视野宽阔，采光充足,慧谷蓝庭 -西万达商圈,4室2厅 | 218.09平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 6个月以前发布,249,"11,418元/平"
装修风格很好，品牌家具家电， 格局好 ，业主诚心出售,慧谷蓝庭 -西万达商圈,4室2厅 | 161平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,6人关注 / 一年前发布,195,"12,112元/平"
西万达商圈 六带七楼 阁楼 利丰汽车城 交通方便 秋实,草原明珠 -西万达商圈,5室2厅 | 182平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,119.5,"6,566元/平"
独栋别墅 纯毛坯  带一亩小院 有房本 可按揭,麦迪逊花园 -新华联商圈,7室2厅 | 360平米 | 南 北 | 毛坯 | 低楼层(共2层)  | 暂无数据,0人关注 / 2个月以前发布,1000,"27,778元/平"
好房出售。。。。。。。。。。。。。。。。。。。,正太和平花园 -金川开发区,5室2厅 | 310平米 | 南 | 简装 | 低楼层(共2层)  | 暂无数据,12人关注 / 一年前发布,230,"7,420元/平"
"空间大，独立的空间，带阁楼，环境好,",金川超高压小区 -金川开发区,4室2厅 | 185平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,11人关注 / 一年前发布,136,"7,352元/平"
绿景苑小区 4室2厅 南 北,绿景苑小区 -呼伦路商圈,4室2厅 | 271平米 | 南 北 | 精装 | 低楼层(共10层)  | 板楼,1人关注 / 6个月以前发布,325.2,"12,000元/平"
新华大街芳汀花园精装六带七出售,芳汀花园 -光华街商圈,5室1厅 | 126平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,13人关注 / 一年前发布,139,"11,032元/平"
国土家园 包税 单位的房子 中间楼层 采光充 精装修,国土家园 -桥华商圈,4室2厅 | 167.72平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,2人关注 / 4个月以前发布,249,"14,847元/平"
东万达 地铁口 位置好 交通方便 配套全,新家园 -团结商圈,3室2厅 | 179.9平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,190,"10,562元/平"
万达商圈，交通便利，生活便利，环境优美,物贸住宅楼 -团结商圈,3室1厅 | 169.72平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,6人关注 / 一年前发布,136,"8,014元/平"
新华大街 万达商圈 华联名仕园 精装修 南北通透,华联名仕园（展东路） -东风路商圈,5室1厅 | 202平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,9人关注 / 8个月以前发布,160,"7,921元/平"
芳汀花园 6室1厅 南 北,芳汀花园 -光华街商圈,6室1厅 | 112平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,7人关注 / 7个月以前发布,127,"11,340元/平"
此房满五唯一  6带7 使用面积大适宜居住,芳汀花园 -光华街商圈,5室3厅 | 133平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,8人关注 / 一年前发布,135,"10,151元/平"
摩尔城 房本满五电梯房，三层复式 精装 家具齐全精致,金都园 -光华街商圈,4室1厅 | 222.04平米 | 南 北 | 精装 | 中楼层(共17层)  | 塔楼,14人关注 / 一年前发布,265,"11,935元/平"
内蒙古党委机关住宅区四区 5室2厅 南,内蒙古党委机关住宅区四区 -苏虎街商圈,5室2厅 | 228.19平米 | 南 | 精装 | 低楼层(共15层)  | 板楼,10人关注 / 一年前发布,355,"15,558元/平"
急售  摩尔城商圈  新出步梯4楼  国标户型,芳汀花园 -光华街商圈,3室2厅 | 141平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,150,"10,639元/平"
十六带十七层，带地下车位买一百多住二百多平 。,金都园 -光华街商圈,4室2厅 | 188.92平米 | 南 北 | 精装 | 高楼层(共17层)  | 塔楼,17人关注 / 一年前发布,215,"11,381元/平"
嘉茂 凯德茂 电力， 复式花园洋房  买2层得一层阳光房,电力家园 -锡小商圈,3室2厅 | 182平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,11人关注 / 一年前发布,255,"14,011元/平"
摩尔城 房本满五电梯房，三层复式 精装 家具齐全精致,金都园 -光华街商圈,4室1厅 | 222.04平米 | 南 北 | 精装 | 中楼层(共17层)  | 塔楼,14人关注 / 一年前发布,265,"11,935元/平"
嘉茂商圈 5，6楼，国标上下，石东路片内，精装现房,家兴小区 -石东路商圈,4室3厅 | 180平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,10人关注 / 一年前发布,168,"9,334元/平"
嘉茂 凯德茂 电力， 复式花园洋房  买2层得一层阳光房,电力家园 -锡小商圈,3室2厅 | 182平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,11人关注 / 一年前发布,255,"14,011元/平"
学府康都，位置好，出行方便，电力,学府康都 -锡小商圈,5室3厅 | 368.63平米 | 南 北 | 精装 | 高楼层(共16层)  | 板楼,12人关注 / 一年前发布,480,"13,022元/平"
房本两年外 复式国标户型 采光充足 视野开阔,濱河灣 -金桥商圈,5室2厅 | 235平米 | 南 北 | 精装 | 高楼层(共9层)  | 板塔结合,19人关注 / 一年前发布,268,"11,405元/平"
巨海城6区精装别墅 实用面积大 业主诚心出售,巨华·巨海城6区 -巨海城商圈,5室4厅 | 312平米 | 南 北 | 精装 | 中楼层(共4层)  | 板楼,19人关注 / 一年前发布,500,"16,026元/平"
电梯房  三层楼   顶楼带小院  精装修,天鹅小区 -南门外商圈,6室2厅 | 151平米 | 南 | 精装 | 高楼层(共21层)  | 板塔结合,2人关注 / 一年前发布,211,"13,974元/平"
视野开阔 别墅精装未住人 联排别墅一二层,巨华·巨海城6区 -巨海城商圈,4室3厅 | 208平米 | 南 北 | 精装 | 低楼层(共4层)  | 板楼,17人关注 / 一年前发布,430,"20,674元/平"
金桥锦绣嘉苑，步梯地暖房，交通出行方便,锦秀嘉苑A区 -金桥商圈,7室2厅 | 299.76平米 | 南 北 | 简装 | 2层  | 暂无数据 | 双拼别墅 ,9人关注 / 一年前发布,330,"11,009元/平"
中海商圈纯毛坯成熟高档社区。。。,万豪长隆湾 -金桥商圈,5室2厅 | 373.76平米 | 南 | 毛坯 | 中楼层(共5层)  | 板塔结合,3人关注 / 一年前发布,380,"10,167元/平"
电建小区南区 3室2厅 东,电建小区南区 -团结商圈,3室2厅 | 168平米 | 东 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,151,"8,989元/平"
濱河灣 4室2厅 南 北,濱河灣 -金桥商圈,4室2厅 | 212平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,3人关注 / 一年前发布,220,"10,378元/平"
新希望东区叠拼别墅 环境好 高档住宅 五年外房本,新希望家园东区 -大学路商圈,5室2厅 | 213.07平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,10人关注 / 一年前发布,340,"15,958元/平"
赛罕区金地江山风华小区在线出售,金地江山风华 -金桥商圈,4室2厅 | 140平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,259,"18,500元/平"
金宇星城 5室3厅 南 北,金宇星城 -金桥商圈,5室3厅 | 167平米 | 南 北 | 精装 | 低楼层(共8层)  | 板楼,14人关注 / 一年前发布,450,"26,947元/平"
3带4，优质户型，小区新，采光好，,政协小区(赛罕区) -万达商圈,6室2厅 | 253平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板塔结合,14人关注 / 一年前发布,330,"13,044元/平"
金河湾 一楼带负一 随时看房 随心装修,金河湾住宅小区 -金桥商圈,3室2厅 | 265平米 | 南 北 | 简装 | 低楼层(共21层)  | 板楼,14人关注 / 一年前发布,206,"7,774元/平"
视野开阔 交通便利 联排别墅一带二 基础精装,巨华·巨海城6区 -巨海城商圈,4室2厅 | 208平米 | 南 | 简装 | 低楼层(共4层)  | 板楼,9人关注 / 一年前发布,420,"20,193元/平"
九合国际 3室2厅 南 北,九合国际 -金桥商圈,3室2厅 | 278平米 | 南 北 | 简装 | 高楼层(共12层)  | 板塔结合,0人关注 / 11个月以前发布,332,"11,943元/平"
出售玉泉区电力片，阳光楼层，业主诚心卖,康友小区 -嘉茂商圈,2室2厅 | 87平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,6人关注 / 一年前发布,112,"12,874元/平"
馨康花园北区 5室3厅 南 北,馨康花园北区 -金桥商圈,5室3厅 | 325平米 | 南 北 | 精装 | 中楼层(共4层)  | 暂无数据,5人关注 / 一年前发布,325,"10,000元/平"
小区安静，绿化好，南北通透 ，采光好,万豪长隆湾 -金桥商圈,5室3厅 | 240平米 | 南 北 | 简装 | 4层  | 板塔结合,1人关注 / 一年前发布,330,"13,750元/平"
金桥万豪长隆万一带我二带小院 大平米,万豪长隆湾 -金桥商圈,4室2厅 | 296平米 | 南 北 | 毛坯 | 低楼层(共4层)  | 板塔结合,0人关注 / 3个月以前发布,380,"12,838元/平"
大平层，得方率高，标准户型，出行便利，凯元广场,九合国际 -金桥商圈,6室2厅 | 455.01平米 | 南 北 | 简装 | 低楼层(共12层)  | 板塔结合,2人关注 / 7个月以前发布,520,"11,429元/平"
展览馆 地铁口 一带二叠拼 有院有地下 满五唯一,中央美墅 -团结商圈,5室3厅 | 222平米 | 南 北 | 简装 | 低楼层(共4层)  | 板楼,11人关注 / 10个月以前发布,245,"11,037元/平"
东风路 39中 出门摩尔城 新华大街 乌兰察布东街,国泰小区 -东风路商圈,3室2厅 | 157.8平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,188,"11,914元/平"
鼓楼苏虎片内，精装修房东靠谱院大能停车,内蒙古党委机关住宅区四区 -苏虎街商圈,5室2厅 | 227平米 | 南 北 | 精装 | 中楼层(共15层)  | 板楼,3人关注 / 一年前发布,550,"24,230元/平"
"南北通透采光好,交通出行方便,户型格局佳,宜居",八一住宅小区 -八一商圈,3室2厅 | 118平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,56人关注 / 11个月以前发布,80,"6,780元/平"
巨海城六区 精装3+4+5带露台俩 年外房本 过户费低,巨华·巨海城6区 -巨海城商圈,5室3厅 | 298平米 | 南 北 | 精装 | 中楼层(共4层)  | 板楼,5人关注 / 一年前发布,425,"14,262元/平"
大学路片 户型方正全天采光 非顶楼带露台哦,银河小区(赛罕区) -大学路商圈,3室2厅 | 154.57平米 | 南 北 | 毛坯 | 6层  | 板楼,2人关注 / 4个月以前发布,163,"10,546元/平"
长乐宫 毛坯大四居 随意装修 1号线地铁口,奈伦国际 -光华街商圈,4室2厅 | 200.98平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板楼,10人关注 / 11个月以前发布,190,"9,454元/平"
锦绣福源 精装一楼二楼 带负一 带车位 储藏间,锦绣福源C区 -新华联商圈,7室2厅 | 660.57平米 | 南 北 | 精装 | 下叠(共4层)  | 板楼 | 叠拼别墅 ,9人关注 / 一年前发布,900,"13,625元/平"
精装修 视野好 采光充足 位置合理 小区安静,巨华·巨海城6区 -巨海城商圈,5室2厅 | 247平米 | 南 | 精装 | 中楼层(共4层)  | 板楼,2人关注 / 一年前发布,410,"16,600元/平"
南北通透格局，电梯房中间楼层，视野宽阔，采光充足,奈伦国际 -光华街商圈,3室2厅 | 159平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,5人关注 / 一年前发布,220,"13,837元/平"
出门地铁口 采光好 人流量大 电梯房户型好,昕嘉园 -光华街商圈,3室4厅 | 196平米 | 南 | 精装 | 高楼层(共12层)  | 板楼,8人关注 / 一年前发布,229,"11,684元/平"
纯写字楼，地理位置优越，出行方便，适合各种公司办公,太伟方恒广场 -光华街商圈,1室1厅 | 600平米 | 南 北 | 简装 | 低楼层(共28层)  | 板塔结合,1人关注 / 一年前发布,630,"10,500元/平"
豪 华装修全屋红木家具中 央空调房本在手婚房首 选,万锦·花语岸 -万锦商圈,6室2厅 | 400平米 | 南 北 | 精装 | 低楼层(共3层)  | 板楼,11人关注 / 一年前发布,690,"17,250元/平"
联排别墅 精装修 一天没住 带小院 已改造完毕 急售,中海蓝湾（别墅区） -中海商圈,6室2厅 | 260平米 | 南 | 精装 | 低楼层(共4层)  | 板楼,5人关注 / 3个月以前发布,980,"37,693元/平"
美华隆小区 户型方正 有房本 可贷款,美华隆小区 -万锦商圈,4室2厅 | 242.41平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,8人关注 / 一年前发布,165,"6,807元/平"
急售 摩尔城 芳汀花园 大四居 随时看房 诚心出售,芳汀花园 -光华街商圈,4室2厅 | 161平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,155,"9,628元/平"
此房房本满五唯一 户型好 采光充足,芳汀花园 -光华街商圈,3室2厅 | 151.39平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,13人关注 / 一年前发布,144,"9,512元/平"
光华街 地铁口 奈伦国际 拎包入住,奈伦国际 -光华街商圈,4室2厅 | 201平米 | 南 北 | 简装 | 中楼层(共25层)  | 板楼,3人关注 / 一年前发布,201,"10,000元/平"
电梯高层 采光好 通透户型 精装修直接入住,金宇文苑 -驰誉商圈,3室2厅 | 147平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,2人关注 / 一年前发布,240,"16,327元/平"
金宇紫光 3室2厅 南 北,金宇紫光 -驰誉商圈,3室2厅 | 142平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,284,"20,000元/平"
万锦花语岸  一带负一带小院 两年外房本 税费低,万锦·花语岸 -万锦商圈,4室4厅 | 333.3平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,8人关注 / 一年前发布,388,"11,642元/平"
奈伦国际 精装 拎包入住  出门到校,奈伦国际 -光华街商圈,3室2厅 | 165平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,6人关注 / 一年前发布,198,"12,000元/平"
阳光诺卡大房子，精装修，小河边 采光好，,阳光诺卡二期 -成吉思汗西商圈,5室3厅 | 271.33平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,20人关注 / 一年前发布,400,"14,743元/平"
精装修、拎包入住、好楼层、带储藏间、位置视野好。,泽信▪加州华府 -成吉思汗东商圈,3室3厅 | 181平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,7人关注 / 一年前发布,260,"14,365元/平"
此房位置、格局、装修、小区好、交通便利,观府 -附属医院商圈,5室2厅 | 244平米 | 南 北 | 简装 | 高楼层(共24层)  | 板塔结合,7人关注 / 一年前发布,227,"9,304元/平"
此房房本两年外，六楼带七楼，还有大露台。,芳汀花园 -光华街商圈,5室3厅 | 135平米 | 北 南 | 精装 | 高楼层(共6层)  | 板楼,8人关注 / 一年前发布,160,"11,852元/平"
新华大街 摩尔城商圈 地铁口 6带7 实用面积大,芳汀花园 -光华街商圈,5室2厅 | 128平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,4人关注 / 一年前发布,132,"10,313元/平"
电梯房 楼层好 采光无遮挡 摩尔城 地铁口 东风路,巨华·朗域 -东风路商圈,4室2厅 | 184平米 | 南 北 | 精装 | 低楼层(共28层)  | 塔楼,3人关注 / 一年前发布,260,"14,131元/平"
西万达商圈 草原明珠小区 6带7 包土地出让金,草原明珠 -西万达商圈,5室3厅 | 165平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,90,"5,455元/平"
新华大街 好房出售 位置好 面积大 好位置,十四中院内住宅楼 -光华街商圈,8室1厅 | 216.58平米 | 东 西 北 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,173,"7,988元/平"
内蒙医院旁 工艺美术宿舍 105平145万 精装修 南北通透,工艺美术宿舍 -驰誉商圈,3室1厅 | 105平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,2人关注 / 一年前发布,110,"10,477元/平"
适合刚需年轻客户 或老人养老 夫妻陪读,邮电长乐小区 -长乐宫商圈,4室1厅 | 131.87平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,132,"10,010元/平"
房子户型*好，客厅*大，南北通透，大落地窗，位置好,呼和佳地龙苑 -八一商圈,6室3厅 | 356平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板楼,25人关注 / 一年前发布,350,"9,832元/平"
附院 景泰花园 6带7 精装修国标户型 单价低,景泰花园 -光明路商圈,3室2厅 | 168平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,20人关注 / 一年前发布,133,"7,917元/平"
