标题,开发商,房子信息,发布信息,售价/万,单价
宝能太古城 4室2厅 南,宝能太古城 -章江新区,4室2厅 | 135平米 | 南 | 其他 | 高楼层(共30层)  | 板楼,0人关注 / 3天以前发布,249,"18,445元/平"
南康碧桂园精装小　区房，户型方正，拎包入住,碧桂园天麓 -南康区,4室2厅 | 143.24平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,4人关注 / 8个月以前发布,109,"7,610元/平"
瑞都名苑精装修3房2厅2卫 朝南采光好 入住时间不长,瑞都名苑 -南康区,3室2厅 | 89.86平米 | 南 | 精装 | 低楼层(共9层)  | 塔楼,11人关注 / 一年前发布,38.9,"4,329元/平"
旭山花园3室2厅1厨2卫   采光好,旭山花园 -南康区,3室2厅 | 141.95平米 | 北 | 精装 | 高楼层(共8层)  | 板塔结合,1人关注 / 一年前发布,73.8,"5,200元/平"
房东另置大业，自住房出售，价格还可以再谈,恒辉大名城 -南康区,3室2厅 | 141.02平米 | 南 北 | 精装 | 中楼层(共28层)  | 板塔结合,2人关注 / 一年前发布,107.6,"7,631元/平"
华坤·都市桃源 2室2厅 南,华坤·都市桃源 -黄金开发区,2室2厅 | 88平米 | 南 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 27天以前发布,70,"7,955元/平"
楼层好，视野宽阔，采光充足，配套设施齐全,国际企业中心 -黄金开发区,7室1厅 | 261.7平米 | 西南 | 简装 | 中楼层(共8层)  | 板塔结合,0人关注 / 6个月以前发布,180,"6,879元/平"
小五金市场开发小区 2室2厅 东南,小五金市场开发小区 -蓉江新区,2室2厅 | 85.37平米 | 东南 | 精装 | 中楼层(共7层)  | 暂无数据,7人关注 / 一年前发布,43,"5,037元/平"
龙岭城发康顺花苑 电梯房带大露台180平,城发康顺花苑 -蓉江新区,3室2厅 | 114.1平米 | 南 | 毛坯 | 低楼层(共16层)  | 暂无数据,0人关注 / 一年前发布,90.3,"7,915元/平"
大品牌云集，地理位置得天独厚，设施齐全，交通便利,保利嘉福领秀山 -赣县区,3室2厅 | 98.4平米 | 南 | 毛坯 | 中楼层(共26层)  | 板楼,0人关注 / 一年前发布,84.8,"8,618元/平"
城发·康顺花苑毛坯房  140平米四房 楼梯房,城发康顺花苑 -蓉江新区,4室2厅 | 140.99平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,85,"6,029元/平"
经开区 万达旁 好晒太阳 毛坯  电梯3加1房,隐龙山庄 -黄金开发区,3室2厅 | 150平米 | 南 | 毛坯 | 中楼层(共13层)  | 板楼,5人关注 / 11个月以前发布,120,"8,000元/平"
万达旁嘉苑精装3房拎包入住学堂交通便利江边公园,嘉苑 -黄金开发区,3室2厅 | 126.58平米 | 东 东南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,115,"9,086元/平"
龙湖佳兴紫云台.11层南北双阳台4房2厅,龙湖佳兴紫云台 -南康区,4室2厅 | 143平米 | 南 | 精装 | 低楼层(共11层)  | 暂无数据,3人关注 / 一年前发布,138.8,"9,707元/平"
三胎标配，采光好，配套设施齐全,丰德园 -章江新区,4室2厅 | 176.83平米 | 南 北 | 精装 | 中楼层(共9层)  | 板楼,2人关注 / 一年前发布,141,"7,974元/平"
幼儿园到高中一站式成熟配套，精装修未入住的新房,碧桂园天麓 -南康区,4室2厅 | 143平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,1人关注 / 一年前发布,138,"9,651元/平"
此房户型方正，楼层好，采光充足，精装修，大四房,碧桂园天麓 -南康区,4室2厅 | 143平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,135,"9,441元/平"
时间公园三期 3室2厅 南 北,时间公园三期 -水东,3室2厅 | 121.78平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 7个月以前发布,100,"8,212元/平"
福兴新城小区电梯毛坯现房75万即买即装修,福兴新城 -于都县,3室2厅 | 103平米 | 南 | 毛坯 | 低楼层(共22层)  | 暂无数据,0人关注 / 一年前发布,75,"7,282元/平"
于都圣世广场电梯房江景房，三房2厅2卫，视野开阔，,圣世广场 -于都县,3室2厅 | 107.02平米 | 西南 | 毛坯 | 高楼层(共29层)  | 暂无数据,0人关注 / 6个月以前发布,93,"8,690元/平"
丽水明珠，四房两厅两卫，看江房，带大露台,丽水明珠B区 -于都县,3室2厅 | 151平米 | 东南 北 | 毛坯 | 低楼层(共18层)  | 暂无数据,4人关注 / 一年前发布,117.8,"7,802元/平"
乐都花园 4室2厅 南 北,乐都花园 -于都县,4室2厅 | 150.86平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 9个月以前发布,90,"5,966元/平"
锦绣嘉园一线江景精装复式大5房,锦绣嘉园 -于都县,5室3厅 | 298平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,1人关注 / 一年前发布,190,"6,376元/平"
文明大道小区楼梯房双阳台停车场,文明大道3号 -老城区,2室1厅 | 98平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,52,"5,307元/平"
滨江东方胜境 满五唯一 正规三房 户型方正 采光充足,滨江东方胜境 -老城区,3室2厅 | 139.8平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,113,"8,083元/平"
贸易广场  龙都小区  五房出售  安静不临街的,龙都小区 -老城区,5室2厅 | 130平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼,13人关注 / 一年前发布,85,"6,539元/平"
金水湾园林小区电梯房 精装修九成新106万,金水湾御景豪园 -于都县,3室2厅 | 101.02平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,1人关注 / 一年前发布,98,"9,702元/平"
工商银行家属楼 3室2厅 东南,工商银行家属楼 -南康区,3室2厅 | 97平米 | 东南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 6个月以前发布,56,"5,774元/平"
嘉福万达  金凤梅园大3房   业主诚意出售,沁园小区 -黄金开发区,3室2厅 | 143.16平米 | 南 | 精装 | 高楼层(共11层)  | 板塔结合,0人关注 / 一年前发布,110,"7,684元/平"
南康汽车城城发康顺花苑三房毛坯 带大露台 户型好,城发康顺花苑 -蓉江新区,3室2厅 | 131.73平米 | 西南 | 毛坯 | 低楼层(共14层)  | 暂无数据,0人关注 / 一年前发布,110,"8,351元/平"
红旗大道   小区房  简装两房两厅一卫,马坡岭社区 -老城区,2室2厅 | 74.93平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 6个月以前发布,48,"6,406元/平"
保利嘉福领秀山 3室2厅 南,保利嘉福领秀山 -赣县区,3室2厅 | 98平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,0人关注 / 5个月以前发布,83,"8,470元/平"
锦兴小区三房，毛坯，户型方正，按自己风格装修,锦兴商住楼小区 -南康区,3室2厅 | 96.55平米 | 南 | 毛坯 | 中楼层(共7层)  | 暂无数据,1人关注 / 6个月以前发布,49.8,"5,158元/平"
央企小区 打通丈母娘的唯一捷径！品质楼盘 楼层好,保利嘉福领秀山 -赣县区,3室2厅 | 107.9平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板楼,0人关注 / 10个月以前发布,78,"7,229元/平"
新交付小区，绿化物业管理优，看房方便，业主诚意出售,新力帝泊湾二期 -黄金开发区,3室2厅 | 119.4平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,141,"11,810元/平"
幼儿园到高中一站式成熟配套，精装修未入住的新房,碧桂园天麓 -南康区,4室2厅 | 169.06平米 | 南 北 | 精装 | 低楼层(共31层)  | 板塔结合,0人关注 / 10个月以前发布,128,"7,572元/平"
户型方正，采光充足，视线宽阔，出行方便，交通便利,碧桂园玺台 -黄金开发区,3室2厅 | 122.6平米 | 东南 南 | 精装 | 高楼层(共15层)  | 板楼,0人关注 / 一年前发布,170,"13,867元/平"
上林春天东区 3室2厅 南 北,上林春天东区 -赣县区,3室2厅 | 129平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 暂无数据,4人关注 / 一年前发布,82,"6,357元/平"
品牌房企 云星物业 配套齐全 交通便捷,云星公园大第 -赣县区,4室2厅 | 132平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,1人关注 / 一年前发布,123,"9,319元/平"
榕玺台 4室2厅 南,榕玺台 -赣县区,4室2厅 | 128平米 | 南 | 其他 | 低楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,168,"13,125元/平"
城南大道 3室1厅 南,城南大道 -赣县区,3室1厅 | 94.28平米 | 南 | 精装 | 高楼层(共8层)  | 暂无数据,14人关注 / 10个月以前发布,63,"6,683元/平"
桃李春天大三房，视野开阔无遮挡，户型方正，南北双阳,桃李春天 -黄金开发区,3室2厅 | 131平米 | 南 | 毛坯 | 高楼层(共30层)  | 板楼,1人关注 / 一年前发布,130,"9,924元/平"
南北双阳台  通透格局  标准三房两厅,白鹭湾1区 -赣县区,3室2厅 | 137.05平米 | 南 北 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,98,"7,151元/平"
城南大道 3室1厅 南,城南大道 -赣县区,3室1厅 | 94.28平米 | 南 | 精装 | 高楼层(共8层)  | 暂无数据,14人关注 / 10个月以前发布,63,"6,683元/平"
桃李春天大三房，视野开阔无遮挡，户型方正，南北双阳,桃李春天 -黄金开发区,3室2厅 | 131平米 | 南 | 毛坯 | 高楼层(共30层)  | 板楼,1人关注 / 一年前发布,130,"9,924元/平"
滨江奥园复式楼出售  5房3厅3卫   毛坯房  三面采光,濱江奥園 -赣县区,5室3厅 | 112.5平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,115,"10,223元/平"
榕玺台 正规四房 带露台 杨仙大道 毛坯房 沿江小区,榕玺台 -赣县区,4室2厅 | 128.69平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,2人关注 / 一年前发布,139.9,"10,872元/平"
江山文苑，正常出售中楼层好，户型格局好,江山文苑 -赣县区,5室2厅 | 138.64平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 暂无数据,0人关注 / 一年前发布,130,"9,377元/平"
城南大道品质社区，户型方正前后通透，装修保养很好。,白鹭湾四区 -赣县区,4室2厅 | 144.33平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,123,"8,523元/平"
七里时光 4室2厅 南,七里时光 -赣县区,4室2厅 | 127平米 | 南 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 一年前发布,115,"9,056元/平"
嘉福原山著  品质小区  房东诚意出售  满两年,嘉福原山著 -赣县区,4室2厅 | 143平米 | 东南 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 7个月以前发布,126,"8,812元/平"
城北联发君悦华府小三房电梯房视线好视野开阔采光充足,联发君悦华府 -赣县区,3室2厅 | 93.54平米 | 南 | 毛坯 | 高楼层(共34层)  | 暂无数据,3人关注 / 7个月以前发布,69.8,"7,463元/平"
房源一个大阳台，户型格局“动静分离”，房间大采光好,东源胜景花园 -赣县区,3室2厅 | 128.7平米 | 南 | 毛坯 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,70,"5,440元/平"
上城湾畔125平 4房 118万 诚意出售,雍晟上城湾畔 -赣县区,4室2厅 | 125平米 | 南 | 毛坯 | 高楼层(共31层)  | 板楼,0人关注 / 一年前发布,118,"9,440元/平"
濱江奥園 3室2厅 南 北,濱江奥園 -赣县区,3室2厅 | 118平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,4人关注 / 一年前发布,110,"9,323元/平"
蓝湾半岛东区 4室2厅 南,蓝湾半岛东区 -赣县区,4室2厅 | 127.6平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 4个月以前发布,125,"9,797元/平"
小三房总价低，位置中配套齐全，采光通风佳,美林苑三期 -赣县区,3室2厅 | 101.95平米 | 南 | 毛坯 | 中楼层(共7层)  | 暂无数据,11人关注 / 一年前发布,73,"7,161元/平"
嘉福原山著 3室2厅 南,嘉福原山著 -赣县区,3室2厅 | 127平米 | 南 | 其他 | 低楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,120,"9,449元/平"
上院东郡四房加一个房间面积，一线江景，带车位出售。,上院东郡 -赣县区,4室2厅 | 126平米 | 东南 | 毛坯 | 中楼层(共26层)  | 板塔结合,1人关注 / 一年前发布,120,"9,524元/平"
东源胜景花园 4室2厅 南,东源胜景花园 -赣县区,4室2厅 | 128.7平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,67.98,"5,283元/平"
货场路15号 4室1厅 南,货场路15号 -赣县区,4室1厅 | 188.57平米 | 南 | 精装 | 高楼层(共4层)  | 暂无数据,6人关注 / 一年前发布,74.8,"3,967元/平"
急售江景边套三房，带车位，好楼层！,雍晟上城湾畔 -赣县区,3室2厅 | 114平米 | 南 | 毛坯 | 高楼层(共29层)  | 暂无数据,0人关注 / 6个月以前发布,92,"8,071元/平"
二中东路 3室2厅 南,二中东路 -赣县区,3室2厅 | 117.58平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,58,"4,933元/平"
视野宽阔 采光充足三个房间大 配套设施完善,凯华白鹭湾五区 -赣县区,3室2厅 | 136平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,125,"9,192元/平"
品质小区 榕玺台洋房 带院子地下室138平 4房,榕玺台 -赣县区,4室2厅 | 138.03平米 | 南 | 毛坯 | 低楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,201,"14,563元/平"
城南商业街 3室2厅 东,城南商业街 -赣县区,3室2厅 | 109平米 | 东 | 简装 | 中楼层(共8层)  | 暂无数据,3人关注 / 一年前发布,81.8,"7,505元/平"
云星·公园大第 品质标杆 物业保障 配套齐全 交通便利,云星公园大第 -赣县区,4室2厅 | 136.87平米 | 南 | 毛坯 | 低楼层(共32层)  | 暂无数据,0人关注 / 一年前发布,112,"8,183元/平"
适宜居住的社区，基础设施配套齐全，有商圈可购物娱乐,華城名苑 -章江新区,3室2厅 | 134平米 | 南 | 其他 | 中楼层(共27层)  | 板塔结合,0人关注 / 1个月以前发布,170,"12,687元/平"
佳兴锦园 5室2厅 南,佳兴锦园 -南康区,5室2厅 | 169平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,4人关注 / 一年前发布,179,"10,592元/平"
天成名都江景房4+1户型大面税现房,天成名都 -于都县,4室2厅 | 151.5平米 | 南 | 毛坯 | 中楼层(共15层)  | 暂无数据,3人关注 / 一年前发布,109,"7,195元/平"
天成名都三房两厅两卫一厨毛坯房,天成名都 -于都县,3室2厅 | 128平米 | 北 南 | 毛坯 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,95,"7,422元/平"
中梁贡江壹号院 四房两厅 电梯洋房,中梁贡江壹号院 -于都县,4室2厅 | 128.63平米 | 南 | 毛坯 | 低楼层(共8层)  | 暂无数据,0人关注 / 7个月以前发布,115,"8,941元/平"
中梁电梯洋房 4房2厅119万,中梁贡江壹号院 -于都县,4室2厅 | 127平米 | 南 | 毛坯 | 高楼层(共8层)  | 暂无数据,0人关注 / 一年前发布,115,"9,056元/平"
新世纪东广场H22/H23/H24 3室1厅 南,新世纪东广场H22/H23/H24 -蓉江新区,3室1厅 | 122平米 | 南 | 毛坯 | 中楼层(共13层)  | 暂无数据,1人关注 / 7个月以前发布,69.8,"5,722元/平"
带露台，房东自住装修，全明户型，板楼得房率高,文明大道123号巷 -老城区,2室2厅 | 83平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,22人关注 / 8个月以前发布,52,"6,266元/平"
章江新区江山里滨江社区 与章江近距离接触,江山里熙岸 -章江新区,3室2厅 | 121.5平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,179,"14,733元/平"
中梁贡江壹号院 四房两厅 电梯洋房,中梁贡江壹号院 -于都县,4室2厅 | 128.63平米 | 南 | 毛坯 | 低楼层(共8层)  | 暂无数据,0人关注 / 7个月以前发布,115,"8,941元/平"
天成名都江景房4+1户型大面税现房,天成名都 -于都县,4室2厅 | 151.5平米 | 南 | 毛坯 | 中楼层(共15层)  | 暂无数据,3人关注 / 一年前发布,109,"7,195元/平"
大润发旁国际时代广场靠江边小区三房两厅两卫,国际时代广场二期 -老城区,3室2厅 | 139平米 | 南 | 其他 | 高楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,160,"11,511元/平"
碧桂园天麓，高品质大型小区，户型方正，南北双阳台,碧桂园天麓 -南康区,4室2厅 | 143平米 | 南 北 | 精装 | 低楼层(共33层)  | 暂无数据,5人关注 / 11个月以前发布,129,"9,021元/平"
红星远洋四房，南北通透。。。。,远洋红星中央广场 -南康区,4室2厅 | 130.7平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 塔楼,0人关注 / 9个月以前发布,108,"8,264元/平"
书香华庭   五房两厅两卫......,書香华庭 -南康区,5室2厅 | 134.4平米 | 东南 | 毛坯 | 高楼层(共32层)  | 板楼,0人关注 / 一年前发布,128,"9,524元/平"
弘乾中茂时代新城一期 4室2厅 南 北,弘乾中茂时代新城一期 -南康区,4室2厅 | 122平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,2人关注 / 11个月以前发布,59.6,"4,886元/平"
金智花园 4室2厅 南,金智花园 -蓉江新区,4室2厅 | 152.76平米 | 南 | 毛坯 | 高楼层(共26层)  | 平房,0人关注 / 10个月以前发布,80,"5,237元/平"
正规毛坯三房，三面采光，业主诚意出售,榕玺台 -赣县区,3室2厅 | 115平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,4人关注 / 一年前发布,118,"10,261元/平"
此房户型好，采光楼层好，配套齐全方便，房东诚意出售,中梁华董·国宾府 -老城区,4室2厅 | 128平米 | 东南 | 毛坯 | 中楼层(共10层)  | 板楼,2人关注 / 4个月以前发布,129,"10,079元/平"
锦绣新天地 3室2厅 南,锦绣新天地 -黄金开发区,3室2厅 | 138平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,130,"9,421元/平"
精装修看江的公寓，采光充足，配套设施齐全，交通便利,嘉福·金融中心 -章江新区,2室1厅 | 55平米 | 南 北 | 精装 | 中楼层(共26层)  | 塔楼,18人关注 / 一年前发布,76,"13,819元/平"
厚德路  姚府里  精装修两房两厅一卫,姚府里48号小区 -老城区,2室2厅 | 91平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,2人关注 / 6个月以前发布,48,"5,275元/平"
毅德融城 4室2厅 南,毅德融城 -蓉江新区,4室2厅 | 127.66平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,12人关注 / 10个月以前发布,100,"7,834元/平"
带楼顶露台 房东急卖   老城区  大三房两厅一卫,赣州市章贡区行政学校教舍楼 -老城区,3室2厅 | 155.1平米 | 南 | 精装 | 高楼层(共7层)  | 平房,11人关注 / 7个月以前发布,80,"5,158元/平"
金鹏•雅典园 3室2厅 南,金鹏•雅典园 -章江新区,3室2厅 | 118平米 | 南 | 精装 | 高楼层(共14层)  | 板塔结合,5人关注 / 11个月以前发布,125,"10,594元/平"
青年路  赣三中旁  小区房好停车  精装修两房两厅一卫,地区财政局青年路住宅区 -老城区,2室2厅 | 97.54平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 7个月以前发布,70,"7,177元/平"
电梯房，配套齐全，满两年，有物业,向日葵公寓 -黄金开发区,2室1厅 | 45平米 | 西南 | 精装 | 中楼层(共21层)  | 塔楼,0人关注 / 一年前发布,49,"10,889元/平"
于都盛世豪庭电梯房，大四房户型方正，前后阳台三面采,盛世豪庭 -于都县,4室2厅 | 126平米 | 东 | 其他 | 低楼层(共32层)  | 塔楼,0人关注 / 2个月以前发布,92.5,"7,342元/平"
洋房带露台户型通透 采光视野不错看房方便小区绿化好,世纪花城 -黄金开发区,3室2厅 | 112平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,1人关注 / 一年前发布,135,"12,054元/平"
坐北朝南前后通透采光通风好毛坯房出售,于都黄金家园小区 -于都县,4室2厅 | 143.5平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,113,"7,875元/平"
丰德园 3室2厅 南,丰德园 -章江新区,3室2厅 | 115平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 一年前发布,98,"8,522元/平"
恒大帝景珑珺苑精装三房业主诚意出售,恒大帝景珑珺苑 -黄金开发区,3室2厅 | 105.8平米 | 南 | 精装 | 中楼层(共19层)  | 板楼,7人关注 / 5个月以前发布,145,"13,706元/平"
联泰天璞边套看江4房   诚意出售,联泰天璞一期 -蓉江新区,4室2厅 | 140.91平米 | 东南 | 毛坯 | 低楼层(共17层)  | 板楼,11人关注 / 一年前发布,183,"12,988元/平"
2020年新楼盘2020年新楼盘,蓝湾里 -赣县区,4室2厅 | 131.25平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 暂无数据,1人关注 / 一年前发布,128,"9,753元/平"
户型方正，采光充足，出行方便，交通便利,碧桂园玺台 -黄金开发区,3室1厅 | 122.41平米 | 南 | 精装 | 高楼层(共15层)  | 板楼,0人关注 / 6个月以前发布,142,"11,601元/平"
亿腾·欧洲城 4室2厅 南,亿腾·欧洲城 -赣县区,4室2厅 | 125.77平米 | 南 | 毛坯 | 高楼层(共18层)  | 平房,8人关注 / 11个月以前发布,89.76,"7,137元/平"
康居花园 4室2厅 南,康居花园 -赣县区,4室2厅 | 138.96平米 | 南 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 7个月以前发布,78,"5,614元/平"
城南中芯 配套完善 出行方便 人文小区,榕玺台 -赣县区,3室2厅 | 110.85平米 | 南 | 毛坯 | 高楼层(共29层)  | 暂无数据,0人关注 / 4个月以前发布,118.5,"10,691元/平"
小高层洋房，中间楼层采光好，户型通透，视野开阔。,凯旋城 -南康区,4室2厅 | 128平米 | 南 北 | 毛坯 | 中楼层(共16层)  | 板楼,0人关注 / 3个月以前发布,87,"6,797元/平"
蓝湾半岛南区 3室2厅 南,蓝湾半岛南区 -赣县区,3室2厅 | 113平米 | 南 | 毛坯 | 中楼层(共31层)  | 板楼,0人关注 / 一年前发布,105,"9,293元/平"
凯华白鹭湾五区133平米3房2厅2卫毛坯房,凯华白鹭湾五区 -赣县区,3室2厅 | 133.22平米 | 南 | 毛坯 | 中楼层(共18层)  | 平房,8人关注 / 一年前发布,110,"8,258元/平"
滨江花城三期 3室2厅 南 北,滨江花城三期 -赣县区,3室2厅 | 123.57平米 | 南 北 | 其他 | 低楼层(共12层)  | 暂无数据,3人关注 / 11个月以前发布,76,"6,151元/平"
空置 精装修 保养新 楼层好 视野开阔 采光充足,碧水蓝庭 -站北区,3室2厅 | 125平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,105,"8,400元/平"
金科集美公馆 4室2厅 南 北,金科集美公馆 -赣县区,4室2厅 | 142.49平米 | 南 北 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 2个月以前发布,155,"10,878元/平"
亿腾·欧洲城 4室2厅 南,亿腾·欧洲城 -赣县区,4室2厅 | 125.77平米 | 南 | 毛坯 | 高楼层(共18层)  | 平房,8人关注 / 11个月以前发布,89.76,"7,137元/平"
嘉福原山著，环境优美，通透明亮，大阳台视野好,嘉福原山著 -赣县区,4室2厅 | 142平米 | 西南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,135.8,"9,564元/平"
珑玺湾，东山新区居住舒适地，南北通透户型，视野佳。,珑玺湾 -南康区,4室2厅 | 124平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,97,"7,823元/平"
现房，现房，中高楼层采光好，户型通透，视野开阔,远洋红星中央广场 -南康区,3室2厅 | 105.87平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 8个月以前发布,85,"8,029元/平"
阳光充足，实用面积大，满足种花种菜养宠物的生活享受,汇金孔雀湾 -赣县区,3室2厅 | 125平米 | 南 | 毛坯 | 低楼层(共29层)  | 暂无数据,0人关注 / 1个月以前发布,88,"7,040元/平"
小区绿化高，环境优美，人车分流，毛坯，地段很好,天域半山豪庭 -南康区,4室2厅 | 143平米 | 南 北 | 其他 | 低楼层(共9层)  | 板塔结合,1人关注 / 一年前发布,135,"9,441元/平"
采光好视野开阔南康东山新中芯位置，未来理想生活地,远洋红星中央广场 -南康区,4室2厅 | 138.14平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 4个月以前发布,97,"7,022元/平"
绿化好，视野宽阔，采光充足，配套设施齐全，环境优美,佳兴文峰花园 -南康区,4室2厅 | 128.19平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 8个月以前发布,92,"7,177元/平"
爱琴海旁边现房，人车分流景观园林小区，即买即装修,远洋红星中央广场 -南康区,3室2厅 | 105平米 | 南 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 7个月以前发布,91,"8,667元/平"
凯旋城 4室2厅 南,凯旋城 -南康区,4室2厅 | 128平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,1人关注 / 10个月以前发布,87,"6,797元/平"
中梁南安府 3室2厅 西南,中梁南安府 -南康区,3室2厅 | 112.45平米 | 西南 | 毛坯 | 高楼层(共34层)  | 板楼,1人关注 / 一年前发布,102.9,"9,151元/平"
龙事达国际公馆好楼层135平单价6000多仅售86,龍事達國際公館 -南康区,3室2厅 | 135平米 | 南 北 | 简装 | 中楼层(共8层)  | 板塔结合,2人关注 / 10个月以前发布,86,"6,371元/平"
地段繁华，出行方便 采光好无遮挡，精致装修,锦绣城 -南康区,6室2厅 | 143.35平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,92,"6,418元/平"
亿邦凯旋城，小区环境优美，业主急卖，价钱可谈,凯旋城 -南康区,4室2厅 | 133.5平米 | 东南 | 毛坯 | 低楼层(共31层)  | 板楼,10人关注 / 一年前发布,73.8,"5,529元/平"
锦江公馆4房契税满2年，楼层好公园旁安静，视野宽阔，,锦江公馆 -黄金开发区,4室2厅 | 139.01平米 | 东南 | 毛坯 | 26层  | 板楼,4人关注 / 7个月以前发布,149,"10,719元/平"
通站大道旁边 金龙小区内 交通方便 采光好,金龙小区 -南康区,3室2厅 | 115.75平米 | 南 | 毛坯 | 中楼层(共8层)  | 平房,1人关注 / 一年前发布,48,"4,147元/平"
亚琦城市壹号家具城旁边采光度好,亚琦城市壹号 -南康区,3室1厅 | 83平米 | 南 | 简装 | 中楼层(共33层)  | 板塔结合,1人关注 / 11个月以前发布,36,"4,338元/平"
小区绿化好，环境优美，户型方正，楼层采光很好,佳兴文峰花园 -南康区,4室2厅 | 136平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,3人关注 / 一年前发布,105,"7,721元/平"
佳兴花园城 4室2厅 南 北,佳兴花园城 -南康区,4室2厅 | 126.02平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,3人关注 / 5个月以前发布,129,"10,237元/平"
佳兴公园 3室2厅 南 北,佳兴公园 -南康区,3室2厅 | 117.2平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 6个月以前发布,115,"9,813元/平"
远洋红星中央广场 4室2厅 南 北,远洋红星中央广场 -南康区,4室2厅 | 130平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 塔楼,0人关注 / 5个月以前发布,113.8,"8,754元/平"
