标题,开发商,房子信息,发布信息,售价/万,单价
13年新社区，小区管理严格，户型方正，出行便利,建华温泉公寓二区 -五一广场,3室1厅 | 105.51平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 塔楼,2人关注 / 一年前发布,375,"35,542元/平"
地铁口 东华苑 装修保持良好  电梯中层 四房出售,东华苑 -福新路,4室2厅 | 152.34平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,3人关注 / 一年前发布,309,"20,284元/平"
湖东路 中山大院 单位宿舍 停车方便 环境优美,中山大院 -省政府,2室1厅 | 80.52平米 | 南 北 | 简装 | 高楼层(共9层)  | 板楼,3人关注 / 一年前发布,258,"32,042元/平"
保利香槟，毛坯6房，采光视野很好！,保利香槟国际 -东二环,6室2厅 | 140.37平米 | 东 | 毛坯 | 高楼层(共32层)  | 塔楼,1人关注 / 4个月以前发布,523,"37,259元/平"
左海铜盘，软件园，低总价三房，楼层好，地段好,五凤新村 -铜盘路（软件园）,3室1厅 | 74平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 5个月以前发布,139,"18,784元/平"
万业锦江城，带车位，电梯中高楼层,万业锦江城 -长乐城区,3室1厅 | 120.92平米 | 东南 | 毛坯 | 高楼层(共17层)  | 暂无数据,3人关注 / 8个月以前发布,205,"16,954元/平"
东湖旁，标准三房，全明户型，看段湖,香开新城西区 -东二环,3室2厅 | 112.56平米 | 东南 北 | 毛坯 | 高楼层(共31层)  | 平房,13人关注 / 7个月以前发布,346,"30,740元/平"
新！仙塔小区，东街板块，地段好，框架房，一梯两户,仙塔小区 -三坊七巷,3室2厅 | 105.92平米 | 东南 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 3个月以前发布,289,"27,285元/平"
阳光城看江高层，精装修40万带车位,长乐阳光城翡丽湾 -首营新区,4室2厅 | 128.54平米 | 东 | 精装 | 中楼层(共30层)  | 暂无数据,0人关注 / 2个月以前发布,265,"20,617元/平"
博仕后龙港城，看江楼栋138平，满五无欠，仅售235万,博仕后龙港城 -甘蔗,4室2厅 | 138平米 | 西南 | 毛坯 | 中楼层(共33层)  | 板楼,1人关注 / 5个月以前发布,235,"17,029元/平"
此房户型好小区环境好，交通便利，位于浦上大桥桥头堡,群升江山城 -福州高新区,4室2厅 | 125.7平米 | 南 西 北 | 毛坯 | 中楼层(共33层)  | 板楼,2人关注 / 3个月以前发布,226,"17,980元/平"
龙芝嘉华 看江好楼层 117平260万,龙芝嘉华 -首营新区,3室1厅 | 117.05平米 | 南 | 毛坯 | 高楼层(共29层)  | 板楼,1人关注 / 一年前发布,245,"20,932元/平"
新出鼓楼二环边三房 屏西小免接,屏西公寓 -铜盘路（软件园）,3室2厅 | 93.34平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,3人关注 / 3个月以前发布,175,"18,749元/平"
东湖旁地铁口 刚需两房  舒适楼层  户型方正,福兴茶会小区 -福马路,2室1厅 | 81平米 | 南 | 简装 | 低楼层(共7层)  | 板塔结合,0人关注 / 3个月以前发布,138,"17,038元/平"
优美桥头堡 ，精装修三房，中间一个大花园环境,碧桂园十里江湾 -福州高新区,3室2厅 | 91.61平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,10人关注 / 一年前发布,195,"21,286元/平"
电梯3房good 精装  社区好,东华苑 -福新路,3室2厅 | 115.55平米 | 南 西南 | 精装 | 低楼层(共8层)  | 板楼,0人关注 / 7个月以前发布,267,"23,107元/平"
新出，钱隆城，高层端头，2卫，有锁，急售,福晟钱隆城 -上街,3室2厅 | 88.65平米 | 南 北 | 简装 | 高楼层(共32层)  | 板塔结合,8人关注 / 一年前发布,170,"19,177元/平"
房东诚意出售，带车库，205万,祥乐花园 -长乐城区,4室2厅 | 143平米 | 东南 | 精装 | 中楼层(共7层)  | 平房,1人关注 / 一年前发布,180,"12,588元/平"
双地铁位置，融侨悦江南，电梯毛坯高层两房，通透户型,融侨悦江南 -金山大道,2室2厅 | 75.59平米 | 南 | 毛坯 | 中楼层(共33层)  | 塔楼,1人关注 / 4个月以前发布,210,"27,782元/平"
居家舒适小区，交通购物便利，楼层好户型方正。,旗山领秀 -南屿,3室2厅 | 114.94平米 | 西南 | 毛坯 | 中楼层(共30层)  | 板楼,0人关注 / 6个月以前发布,138,"12,007元/平"
湾边大桥桥头堡|电梯高层大三房|视野宽阔,天泽奥莱时代I期 -南屿,3室2厅 | 98平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,2人关注 / 一年前发布,123,"12,552元/平"
偷的面积很多！大利用率，满足您的需求，采光很好,福晟钱隆学府 -上街,3室2厅 | 88.83平米 | 南 北 | 简装 | 低楼层(共25层)  | 塔楼,1人关注 / 7个月以前发布,148,"16,662元/平"
湖前省体精装三房天元美树馆A区急售,鑫泉新苑A区 -铜盘路（软件园）,3室2厅 | 119.73平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,9人关注 / 一年前发布,280,"23,386元/平"
闽侯高新区  龙旺康桥丹堤端头户型  户型方正  满二,康桥丹堤 -福州高新区,3室2厅 | 103.04平米 | 东南 | 毛坯 | 低楼层(共40层)  | 板楼,2人关注 / 一年前发布,184,"17,858元/平"
正荣财富，成熟商圈标准大四房，房东诚意出售,正荣财富中心 -闽侯大学城,4室2厅 | 130.26平米 | 南 西 北 | 简装 | 高楼层(共39层)  | 塔楼,0人关注 / 一年前发布,310,"23,799元/平"
湖东路 中山大院 单位宿舍 停车方便 环境优美,中山大院 -省政府,2室1厅 | 80.52平米 | 南 北 | 简装 | 高楼层(共9层)  | 板楼,3人关注 / 一年前发布,258,"32,042元/平"
阳光城看江高层，精装修40万带车位,长乐阳光城翡丽湾 -首营新区,4室2厅 | 128.54平米 | 东 | 精装 | 中楼层(共30层)  | 暂无数据,0人关注 / 2个月以前发布,265,"20,617元/平"
优美桥头堡 ，精装修三房，中间一个大花园环境,碧桂园十里江湾 -福州高新区,3室2厅 | 91.61平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,10人关注 / 一年前发布,195,"21,286元/平"
此房户型好小区环境好，交通便利，位于浦上大桥桥头堡,群升江山城 -福州高新区,4室2厅 | 125.7平米 | 南 西 北 | 毛坯 | 中楼层(共33层)  | 板楼,2人关注 / 3个月以前发布,226,"17,980元/平"
双地铁位置，融侨悦江南，电梯毛坯高层两房，通透户型,融侨悦江南 -金山大道,2室2厅 | 75.59平米 | 南 | 毛坯 | 中楼层(共33层)  | 塔楼,1人关注 / 4个月以前发布,210,"27,782元/平"
新！仙塔小区，东街板块，地段好，框架房，一梯两户,仙塔小区 -三坊七巷,3室2厅 | 105.92平米 | 东南 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 3个月以前发布,289,"27,285元/平"
新出鼓楼二环边三房 屏西小免接,屏西公寓 -铜盘路（软件园）,3室2厅 | 93.34平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,3人关注 / 3个月以前发布,175,"18,749元/平"
居家舒适小区，交通购物便利，楼层好户型方正。,旗山领秀 -南屿,3室2厅 | 114.94平米 | 西南 | 毛坯 | 中楼层(共30层)  | 板楼,0人关注 / 6个月以前发布,138,"12,007元/平"
东二环泰禾  保利香槟  三房 南  总价低,保利香槟国际 -东二环,3室2厅 | 89.59平米 | 南 | 简装 | 低楼层(共32层)  | 塔楼,0人关注 / 2个月以前发布,285,"31,812元/平"
茶亭地铁口，国货 福八 园林社区，办公装修，随时看房,世茂茶亭俪园 -茶亭,3室2厅 | 162.24平米 | 西南 | 简装 | 低楼层(共56层)  | 塔楼,1人关注 / 7个月以前发布,518,"31,929元/平"
繁华地段，一公里内有多个大型商场，电梯房精装带车位,香江国际 -长乐城区,4室2厅 | 156.64平米 | 南 北 | 精装 | 低楼层(共31层)  | 板楼,0人关注 / 5个月以前发布,266,"16,982元/平"
钱塘，屏东，框架电梯大三房，南北通透。,省国税宿舍 -省政府,3室2厅 | 126.4平米 | 西南 北 | 精装 | 低楼层(共9层)  | 暂无数据,5人关注 / 8个月以前发布,519,"41,061元/平"
贵阁苑，高楼层，去永辉接小孩读书方便。,贵安新天地贵阁苑 -贵安,3室1厅 | 129.42平米 | 东南 南 东 | 毛坯 | 高楼层(共32层)  | 板楼,1人关注 / 9个月以前发布,80,"6,182元/平"
贵府苑，一室一厅户型，高楼层，采光好，全新未入住,贵安新天地贵府苑 -贵安,1室1厅 | 50.61平米 | 北 | 精装 | 中楼层(共30层)  | 板楼,3人关注 / 10个月以前发布,43,"8,497元/平"
精装三房朝南，诚意出售，看房方便,阳光理想城香草天空揽香 -上街,3室1厅 | 59.04平米 | 南 | 精装 | 高楼层(共22层)  | 板塔结合,4人关注 / 6个月以前发布,106,"17,954元/平"
沿江社区，一梯两户看江大平层，09年纯商品房社区,三盛•巴厘岛 -三叉街,4室2厅 | 156.77平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 一年前发布,560,"35,722元/平"
前面看江，后面靠山，南北通透，视野好，采光好,贵安新天地贵居苑 -贵安,3室2厅 | 137.9平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板楼,0人关注 / 6个月以前发布,82,"5,947元/平"
贵安新天地贵荣苑 2室1厅 南,贵安新天地贵荣苑 -贵安,2室1厅 | 85平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,47.3,"5,565元/平"
端头全明结构，满两年，大四房，精装修，拎包入住,贵安新天地贵轩苑 -贵安,4室2厅 | 143平米 | 东南 | 精装 | 低楼层(共30层)  | 板楼,2人关注 / 7个月以前发布,118,"8,252元/平"
闽侯 甘蔗 世茂御龙湾  花园式小区 复式三房,世茂御龙湾 -甘蔗,3室2厅 | 88.78平米 | 南 | 简装 | 低楼层(共33层)  | 板塔结合,3人关注 / 7个月以前发布,120,"13,517元/平"
贵安新天地贵府苑两梯四户 南北通透 产权清晰,贵安新天地贵府苑 -贵安,3室1厅 | 108平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 6个月以前发布,73,"6,760元/平"
贵盛苑 满五年，毛坯三房，视野开阔，上学生活方便,贵安新天地贵盛苑 -贵安,3室2厅 | 130平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,1人关注 / 8个月以前发布,79,"6,077元/平"
贵荣苑高层视野好，产权130平方大三房，7.4米长阳台！,贵安新天地贵荣苑 -贵安,3室2厅 | 129.81平米 | 西南 | 毛坯 | 低楼层(共32层)  | 板楼,3人关注 / 一年前发布,79.5,"6,125元/平"
此房满二，高层，户型方正，全明结构，采光充足,贵安新天地贵盛苑 -贵安,3室2厅 | 99.67平米 | 东南 | 毛坯 | 高楼层(共32层)  | 板楼,5人关注 / 一年前发布,63,"6,321元/平"
贵荣苑一中边上 精装3房 低价诚意出售,贵安新天地贵荣苑 -贵安,3室1厅 | 98.86平米 | 东南 | 精装 | 低楼层(共26层)  | 板楼,2人关注 / 8个月以前发布,69.3,"7,010元/平"
此房沿江看景，无遮挡，采光好，通风好，户型方正,御山水 -贵安,2室2厅 | 114.23平米 | 南 北 | 毛坯 | 中楼层(共23层)  | 板楼,0人关注 / 2个月以前发布,80,"7,004元/平"
低于原值出售，精装修大三房拎包入住，九年免接,贵安新天地贵荣苑 -贵安,3室2厅 | 130平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,100,"7,693元/平"
融信宽域，南北通透，独梯独户，电梯中层，社区环境好,融信宽域 -金山大道,4室2厅 | 141.01平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,13人关注 / 一年前发布,345,"24,467元/平"
双阳台三房户型！满五精装视野开阔 采光面足！,融侨宜家二期 -南屿,3室2厅 | 95.86平米 | 东南 | 精装 | 低楼层(共34层)  | 板楼,2人关注 / 9个月以前发布,125,"13,040元/平"
贵安新天地贵府苑两梯四户 南北通透 产权清晰,贵安新天地贵府苑 -贵安,3室1厅 | 108平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 6个月以前发布,73,"6,760元/平"
此房满二，高层，户型方正，全明结构，采光充足,贵安新天地贵盛苑 -贵安,3室2厅 | 99.67平米 | 东南 | 毛坯 | 高楼层(共32层)  | 板楼,5人关注 / 一年前发布,63,"6,321元/平"
贵荣苑高层视野好，产权130平方大三房，7.4米长阳台！,贵安新天地贵荣苑 -贵安,3室2厅 | 129.81平米 | 西南 | 毛坯 | 低楼层(共32层)  | 板楼,3人关注 / 一年前发布,79.5,"6,125元/平"
贵荣苑一中边上 精装3房 低价诚意出售,贵安新天地贵荣苑 -贵安,3室1厅 | 98.86平米 | 东南 | 精装 | 低楼层(共26层)  | 板楼,2人关注 / 8个月以前发布,69.3,"7,010元/平"
贵盛苑 满五年，毛坯三房，视野开阔，上学生活方便,贵安新天地贵盛苑 -贵安,3室2厅 | 130平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,1人关注 / 8个月以前发布,79,"6,077元/平"
贵岚苑毛坯三房两卫.业主诚意出售,贵安新天地贵岚苑 -贵安,3室2厅 | 109平米 | 西南 | 毛坯 | 低楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,67,"6,147元/平"
楼层适中，业主诚意出售，小区同户型价格便宜。,融侨宜家二期 -南屿,3室2厅 | 95.86平米 | 西 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 3个月以前发布,149,"15,544元/平"
御龙湾3房2卫，带装修，满五年，无抵押，仅售118万,世茂御龙湾 -甘蔗,3室1厅 | 88.06平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,13人关注 / 一年前发布,113,"12,833元/平"
贵盛苑  福州一中边  前后有视野  标准大三房,贵安新天地贵盛苑 -贵安,3室2厅 | 129.56平米 | 西南 | 毛坯 | 高楼层(共29层)  | 板楼,0人关注 / 2个月以前发布,80.3,"6,198元/平"
地铁口 丽景天成 电梯高层  产权清晰 手续简单,丽景天成 -金山公园,3室2厅 | 132.17平米 | 北 东南 | 毛坯 | 中楼层(共8层)  | 板楼,19人关注 / 一年前发布,308,"23,304元/平"
贵华苑，视野开阔，户型方正采光足,贵安新天地贵华苑 -贵安,3室2厅 | 120.44平米 | 东南 南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 11个月以前发布,66.6,"5,530元/平"
贵雅苑，东南，满5年，无抵押，带8平入户花园，有锁。,贵安新天地贵雅苑 -贵安,3室2厅 | 136.97平米 | 东南 | 毛坯 | 低楼层(共22层)  | 板楼,3人关注 / 一年前发布,80,"5,841元/平"
115.73平方做到三房半，成熟社区，生活和交通便利,大景城 -鼓山新东区,4室2厅 | 115.73平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,3人关注 / 一年前发布,239,"20,652元/平"
贵泉苑 三房两卫 精装修 高层 诚意出售,贵安新天地贵泉苑 -贵安,3室2厅 | 100.15平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,8人关注 / 8个月以前发布,82.3,"8,218元/平"
省直屏西 南北通透 楼层好 刚需三房,省直机关屏西住宅区 -铜盘路（软件园）,3室2厅 | 75.93平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,11人关注 / 8个月以前发布,172,"22,653元/平"
金融街万达隔壁高档社区，两梯两户 刷卡入户 全景花园,香开长龙 -台江万达,4室2厅 | 145.17平米 | 南 北 | 毛坯 | 低楼层(共25层)  | 板楼,0人关注 / 4个月以前发布,625,"43,053元/平"
省直屏西，标准3房，西南朝向，结构好，门口位置,省直机关屏西住宅区 -铜盘路（软件园）,3室2厅 | 92.17平米 | 西南 | 简装 | 中楼层(共7层)  | 板楼,62人关注 / 一年前发布,185,"20,072元/平"
贵泉精装两房，配套齐全  满二 随时看房,贵安新天地贵泉苑 -贵安,2室1厅 | 64.27平米 | 南 | 精装 | 低楼层(共31层)  | 板楼,1人关注 / 9个月以前发布,54,"8,403元/平"
高层精装修满二三房视野开阔采光好,阳光城西海岸B区 -甘蔗,3室2厅 | 85.5平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,1人关注 / 11个月以前发布,123,"14,386元/平"
贵阁苑，接小孩读书方便，小区楼下三面底商。,贵安新天地贵阁苑 -贵安,3室1厅 | 129.9平米 | 东 南 北 | 简装 | 高楼层(共32层)  | 板楼,1人关注 / 8个月以前发布,96,"7,391元/平"
精装修首付20万，贵祥苑南北通透满2年2梯2户中层,贵安新天地贵祥苑 -贵安,3室2厅 | 129.63平米 | 南 西南 北 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 6个月以前发布,90,"6,943元/平"
新出洪塘桥旁 复式洋房多使用空间，满可无,鸿盛阳光美墅 -上街,4室2厅 | 180.65平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,3人关注 / 8个月以前发布,299,"16,552元/平"
一中旁 贵盛苑高层端头三房 独立餐厅 业主急售,贵安新天地贵盛苑 -贵安,3室2厅 | 121.31平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,1人关注 / 2个月以前发布,75.5,"6,224元/平"
端头上叠70年别墅  仅售168万 先生的山,先生的山B区 -贵安,3室3厅 | 141.22平米 | 南 | 毛坯 | 中楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,167,"11,826元/平"
碧桂园端头复式 中楼层 无公摊 通透户型,碧桂园贵安府 -贵安,3室2厅 | 86.75平米 | 南 西南 北 | 毛坯 | 低楼层(共31层)  | 暂无数据,11人关注 / 一年前发布,53,"6,110元/平"
贵泉苑贵安东街口，外卖小吃一条街，三房两厅高层,贵安新天地贵泉苑 -贵安,3室2厅 | 75.84平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,2人关注 / 4个月以前发布,57,"7,516元/平"
贵华苑此房满五唯一，高层采光好，户型阳光足,贵安新天地贵华苑 -贵安,3室2厅 | 120平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,75,"6,250元/平"
高层无遮挡，通风良好，端头，户型方正 产权清晰,贵安新天地贵香苑 -贵安,3室2厅 | 119.87平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 一年前发布,87,"7,258元/平"
小区大门口，满5年，无抵押，端头，采光足。,贵安新天地贵香苑 -贵安,4室2厅 | 145.7平米 | 西南 | 毛坯 | 低楼层(共18层)  | 板楼,3人关注 / 一年前发布,81,"5,560元/平"
划仓一商品房社区，居家3房中间楼层,富华家园 -三叉街,3室1厅 | 104.6平米 | 东南 | 简装 | 高楼层(共6层)  | 板塔结合,5人关注 / 5个月以前发布,189,"18,069元/平"
繁华地段，一公里内有多个大型商场，电梯房精装带车位,香江国际 -长乐城区,4室2厅 | 156.64平米 | 南 北 | 精装 | 低楼层(共31层)  | 板楼,0人关注 / 5个月以前发布,266,"16,982元/平"
钱塘，屏东，框架电梯大三房，南北通透。,省国税宿舍 -省政府,3室2厅 | 126.4平米 | 西南 北 | 精装 | 低楼层(共9层)  | 暂无数据,5人关注 / 8个月以前发布,519,"41,061元/平"
贵香大两房户，复式楼，挑高，稀有户型,贵安新天地贵香苑 -贵安,2室1厅 | 93.9平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,55,"5,858元/平"
福建省满五唯一，精装修，家电齐全，拎包入住。,阳光理想城香草天空揽香 -上街,3室2厅 | 89平米 | 东 东南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,154,"17,304元/平"
阳光凡尔赛宫A区 大平层 满2年 毛坯 视野好 端户,阳光凡尔赛宫A区 -光明港,5室2厅 | 164.69平米 | 西南 | 毛坯 | 高楼层(共30层)  | 板塔结合,2人关注 / 一年前发布,550,"33,397元/平"
新出！万达旁 独梯独户 动静分离 精装三房,海润滨江花园B区 -台江万达,4室2厅 | 135平米 | 东南 | 精装 | 低楼层(共18层)  | 板塔结合,5人关注 / 4个月以前发布,316,"23,408元/平"
桥头堡精装修三房，低总价，拎包入住,碧桂园十里江湾 -福州高新区,3室2厅 | 79.17平米 | 南 北 | 精装 | 中楼层(共34层)  | 板塔结合,1人关注 / 5个月以前发布,163,"20,589元/平"
亿力江滨，沿江一排，顶层复式，身份象征，东头纯毛坯,亿力江滨一区 -台江排尾,5室2厅 | 271.02平米 | 南 | 毛坯 | 高楼层(共44层)  | 板楼,0人关注 / 1个月以前发布,1800,"66,416元/平"
贵安东街口地段 三房精装  贵泉苑,贵安新天地贵泉苑 -贵安,3室2厅 | 100.26平米 | 南 北 | 精装 | 低楼层(共31层)  | 板楼,0人关注 / 1个月以前发布,84,"8,379元/平"
凯隆低楼层两房采光好下面空中花园,凯隆橙仕公馆 -江滨东大道(快安）,2室2厅 | 71.26平米 | 西 | 简装 | 低楼层(共32层)  | 板塔结合,19人关注 / 11个月以前发布,63,"8,841元/平"
金城小区新店的东街口，好地段，好小区，好价格。,金城住宅小区 -新店,3室2厅 | 111.09平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,13人关注 / 一年前发布,175,"15,753元/平"
高层采光通风好，满二省税，端头户型采光好，单价低,远东丽景 -鼓山新东区,3室2厅 | 107.74平米 | 南 北 | 精装 | 中楼层(共28层)  | 塔楼,1人关注 / 3个月以前发布,190,"17,636元/平"
华润紫云府，85平，低总价，精装修，满二,华润紫云府一期 -江滨东大道(快安）,3室1厅 | 85.21平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,5人关注 / 3个月以前发布,135,"15,844元/平"
阳光城檀府顶楼复式，毛坯满二年 大阳台 大露台,阳光城融侨檀府 -金山奥体,4室2厅 | 139.35平米 | 南 | 毛坯 | 高楼层(共15层)  | 暂无数据,0人关注 / 1个月以前发布,464,"33,298元/平"
此房满2年，精装修2.5房大阳台  中间楼层，没公摊,阳光城新界 -浦上大道（金山万达）,3室2厅 | 65.79平米 | 南 西南 | 精装 | 中楼层(共17层)  | 板塔结合,0人关注 / 3个月以前发布,195,"29,640元/平"
高新区品牌社区，橘园洲桥头堡，精装住宅,中海寰宇天下 -福州高新区,3室2厅 | 89.8平米 | 南 北 | 简装 | 中楼层(共33层)  | 板塔结合,12人关注 / 9个月以前发布,217,"24,165元/平"
鼓实  屏东  框架  3房  停车方便,龙峰新村 -省政府,3室1厅 | 69.3平米 | 南 | 简装 | 中楼层(共8层)  | 板塔结合,0人关注 / 1个月以前发布,348,"50,217元/平"
五四北 三盛国际公园 上东区 标准四房 端头,三盛国际公园上东区 -五四北,4室2厅 | 163.61平米 | 东南 | 毛坯 | 低楼层(共17层)  | 塔楼,4人关注 / 一年前发布,375,"22,921元/平"
金山大道，地铁口，社区中点，大平层，高楼层，,新榕金城湾 -金山公园,5室2厅 | 213平米 | 东南 北 | 毛坯 | 中楼层(共40层)  | 板楼,3人关注 / 一年前发布,550,"25,822元/平"
钱隆城，环境安静，总价低三房两卫,福晟钱隆城 -上街,3室1厅 | 79.82平米 | 南 | 简装 | 中楼层(共31层)  | 板塔结合,6人关注 / 8个月以前发布,136,"17,039元/平"
高新区万达旁，房证满两年，好楼层，视野无遮挡,三盛托斯卡纳 -福州高新区,3室2厅 | 125.87平米 | 南 西南 | 毛坯 | 高楼层(共33层)  | 板塔结合,2人关注 / 8个月以前发布,256,"20,339元/平"
贵祥苑标准三房两卫大阳台，两梯两户,贵安新天地贵祥苑 -贵安,3室2厅 | 129.42平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,97.7,"7,550元/平"
观湖三房两卫出售 看房方便 欢迎咨询,融侨观湖 -福州高新区,3室2厅 | 88.11平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,2人关注 / 4个月以前发布,180,"20,430元/平"
贵豪苑高层精装3房2卫 花海视野,贵豪苑 -贵安,3室2厅 | 88.32平米 | 南 北 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 1个月以前发布,63,"7,134元/平"
贵岚苑.毛坯四房.视野杠杠.小区底商配套齐全,贵安新天地贵岚苑 -贵安,4室1厅 | 132平米 | 西南 | 毛坯 | 低楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,82,"6,213元/平"
中发印象外滩沿江一排大平层房东这个价格有带子母车位,中发印象外滩 -南江滨,4室1厅 | 200平米 | 西南 | 毛坯 | 中楼层(共29层)  | 板楼,0人关注 / 4个月以前发布,659,"32,950元/平"
户型四方，全明结构，单价优惠，中发印象外滩,中发印象外滩 -南江滨,3室2厅 | 140平米 | 东南 | 毛坯 | 低楼层(共26层)  | 板楼,9人关注 / 一年前发布,290,"20,715元/平"
塔头地铁4号线 桂香街框架大三房，南北通透,康山路7号 -塔头,3室2厅 | 95.76平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 11个月以前发布,160,"16,709元/平"
福清江滨路新亚商业城3房毛胚房东诚意出售,新亚商业城 -福清市,3室2厅 | 121.57平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,17人关注 / 10个月以前发布,73,"6,005元/平"
贵尊苑108平，三房两厅两卫，真实在售,贵安新天地贵尊苑A区 -贵安,3室2厅 | 108.8平米 | 西南 | 毛坯 | 中楼层(共26层)  | 塔楼,1人关注 / 一年前发布,78,"7,170元/平"
高层精装三房两卫，家具家电齐全，旁边是公园,贵安新天地贵尊苑A区 -贵安,3室2厅 | 98.59平米 | 东南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 6个月以前发布,76,"7,709元/平"
贵邦苑，楼层好，视野宽阔，采光充足，配套齐全,贵安新天地贵邦苑 -贵安,2室1厅 | 93.43平米 | 南 北 | 精装 | 中楼层(共30层)  | 塔楼,2人关注 / 4个月以前发布,51,"5,459元/平"
贵安 精装小三房 房龄短 全新未入住,贵尊苑B区 -贵安,3室1厅 | 80平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,1人关注 / 6个月以前发布,57.3,"7,163元/平"
贵尊苑，四房毛坯，满五客解47万，楼层好，视野开阔 .,贵安新天地贵尊苑A区 -贵安,4室2厅 | 119.11平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,1人关注 / 一年前发布,85,"7,137元/平"
福新西路居家电梯三房拎包即住！地理位置优越。,吉翔双子星大厦 -五一广场,3室1厅 | 69.21平米 | 西 | 精装 | 中楼层(共33层)  | 塔楼,3人关注 / 8个月以前发布,182,"26,297元/平"
上城国际北区3-2-1-2 118.56m² 218 万,上城国际北区 -火车南站,3室2厅 | 118.56平米 | 南 | 简装 | 低楼层(共15层)  | 板塔结合,0人关注 / 6个月以前发布,200,"16,870元/平"
阳光城领海 精装 高层 采光视野好 业主诚意出售,阳光城领海 -甘蔗,2室2厅 | 77.45平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,136,"17,560元/平"
贵岚苑   精装三房  视野开阔     可拎包入住,贵安新天地贵岚苑 -贵安,3室1厅 | 87.63平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,3人关注 / 一年前发布,64,"7,304元/平"
阳光城西海岸B区 精装三房两卫 高层 采光视野好,阳光城西海岸B区 -甘蔗,3室2厅 | 97.97平米 | 西南 | 精装 | 中楼层(共33层)  | 板楼,9人关注 / 7个月以前发布,153,"15,618元/平"
全景看花海  三开间朝南  奥莱  大剧院  视野俱佳,贵安新天地贵岚苑 -贵安,3室2厅 | 87.63平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,3人关注 / 8个月以前发布,68,"7,760元/平"
贵居苑毛坯三房，带有子母车位，产权清晰,贵安新天地贵居苑 -贵安,3室2厅 | 119.6平米 | 东南 南 北 | 毛坯 | 高楼层(共26层)  | 板楼,0人关注 / 一年前发布,76,"6,355元/平"
一线洞江湖景观，家门口的公园，无公摊，得房率高,万钢外滩公馆 -长乐城区,4室2厅 | 138平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 一年前发布,290,"21,015元/平"
